Title,PDF URL,DOI,Published Date,Primary Category,Entry ID,Citation Count,Paper ID
an assessment of the impact of ocr noise on language models,http://arxiv.org/pdf/2202.00470v1,,26/01/2022 21:56,cs.CL,http://arxiv.org/abs/2202.00470v1,1,97
ocr post correction for endangered language texts,http://arxiv.org/pdf/2011.05402v1,,10/11/2020 21:21,cs.CL,http://arxiv.org/abs/2011.05402v1,1,98
"sib-200: a simple, inclusive, and big evaluation dataset for topic classification in 200+ languages and dialects",http://arxiv.org/pdf/2309.07445v1,,14/09/2023 06:56,cs.CL,http://arxiv.org/abs/2309.07445v1,1,100
biobart: pretraining and evaluation of a biomedical generative language model,http://arxiv.org/pdf/2204.03905v2,,08/04/2022 09:07,cs.CL,http://arxiv.org/abs/2204.03905v2,1,103
xnli 2.0: improving xnli dataset and performance on cross lingual understanding (xlu),http://arxiv.org/pdf/2301.06527v1,,16/01/2023 17:24,cs.CL,http://arxiv.org/abs/2301.06527v1,1,104
greekbart: the first pretrained greek sequence-to-sequence model,http://arxiv.org/pdf/2304.00869v1,,03/04/2023 11:48,cs.CL,http://arxiv.org/abs/2304.00869v1,1,115
description logics based formalization of wh-queries,http://arxiv.org/pdf/1312.6948v1,,25/12/2013 09:23,cs.CL,http://arxiv.org/abs/1312.6948v1,1,116
extracting and filtering paraphrases by bridging natural language inference and paraphrasing,http://arxiv.org/pdf/2111.07119v1,,13/11/2021 14:06,cs.CL,http://arxiv.org/abs/2111.07119v1,1,117
extension of hidden markov model for recognizing large vocabulary of sign language,http://arxiv.org/pdf/1304.3265v1,,11/04/2013 12:56,cs.CL,http://arxiv.org/abs/1304.3265v1,1,118
evaluation of computational grammar formalisms for indian languages,http://arxiv.org/pdf/1209.1301v1,,19/08/2012 03:31,cs.CL,http://arxiv.org/abs/1209.1301v1,1,122
from textual information sources to linked data in the agatha project,http://arxiv.org/pdf/1909.05359v1,,03/09/2019 09:27,cs.CL,http://arxiv.org/abs/1909.05359v1,1,123
the role of explanatory value in natural language processing,http://arxiv.org/pdf/2209.06169v1,,13/09/2022 18:19,cs.CL,http://arxiv.org/abs/2209.06169v1,1,125
opportunities for large language models and discourse in engineering design,http://arxiv.org/pdf/2306.09169v1,,15/06/2023 15:46,cs.CL,http://arxiv.org/abs/2306.09169v1,1,126
autonomous requirements specification processing using natural language processing,http://arxiv.org/pdf/1407.6099v1,,23/07/2014 04:29,cs.CL,http://arxiv.org/abs/1407.6099v1,1,127
reasoning about procedures with natural language processing: a tutorial,http://arxiv.org/pdf/2205.07455v1,,16/05/2022 06:42,cs.CL,http://arxiv.org/abs/2205.07455v1,1,134
linda: unsupervised learning to interpolate in natural language processing,http://arxiv.org/pdf/2112.13969v1,,28/12/2021 02:56,cs.CL,http://arxiv.org/abs/2112.13969v1,1,139
emergence of numeric concepts in multi-agent autonomous communication,http://arxiv.org/pdf/1911.01098v1,,04/11/2019 09:58,cs.CL,http://arxiv.org/abs/1911.01098v1,1,141
language-family adapters for low-resource multilingual neural machine translation,http://arxiv.org/pdf/2209.15236v3,,30/09/2022 06:02,cs.CL,http://arxiv.org/abs/2209.15236v3,1,143
nlnde at semeval-2023 task 12: adaptive pretraining and source language selection for low-resource multilingual sentiment analysis,http://arxiv.org/pdf/2305.00090v1,,28/04/2023 22:02,cs.CL,http://arxiv.org/abs/2305.00090v1,1,144
"limit: language identification, misidentification, and translation using hierarchical models in 350+ languages",http://arxiv.org/pdf/2305.14263v1,,23/05/2023 18:15,cs.CL,http://arxiv.org/abs/2305.14263v1,1,145
an implementation of apertium based assamese morphological analyzer,http://arxiv.org/pdf/1503.03989v1,,13/03/2015 09:03,cs.CL,http://arxiv.org/abs/1503.03989v1,1,146
stemmers for tamil language: performance analysis,http://arxiv.org/pdf/1310.0754v1,,02/10/2013 17:23,cs.CL,http://arxiv.org/abs/1310.0754v1,1,147
swissbert: the multilingual language model for switzerland,http://arxiv.org/pdf/2303.13310v2,,23/03/2023 14:44,cs.CL,http://arxiv.org/abs/2303.13310v2,1,149
analyzing the surprising variability in word embedding stability across languages,http://arxiv.org/pdf/2004.14876v2,,30/04/2020 16:24,cs.CL,http://arxiv.org/abs/2004.14876v2,1,150
towards a deep multi-layered dialectal language analysis: a case study of african-american english,http://arxiv.org/pdf/2206.08978v1,,03/06/2022 02:05,cs.CL,http://arxiv.org/abs/2206.08978v1,1,152
extracting weighted finite automata from recurrent neural networks for natural languages,http://arxiv.org/pdf/2206.14621v2,,27/06/2022 10:30,cs.CL,http://arxiv.org/abs/2206.14621v2,1,154
towards more robust natural language understanding,http://arxiv.org/pdf/2112.02992v2,,01/12/2021 17:27,cs.CL,http://arxiv.org/abs/2112.02992v2,1,156
bilingual lexicon induction for low-resource languages using graph matching via optimal transport,http://arxiv.org/pdf/2210.14378v1,,26/10/2022 00:09,cs.CL,http://arxiv.org/abs/2210.14378v1,1,163
du tal au til,http://arxiv.org/pdf/1201.4733v1,,20/01/2012 17:35,cs.CL,http://arxiv.org/abs/1201.4733v1,1,164
modular mechanistic networks: on bridging mechanistic and phenomenological models with deep neural networks in natural language processing,http://arxiv.org/pdf/1807.09844v2,,21/07/2018 12:37,cs.CL,http://arxiv.org/abs/1807.09844v2,1,171
learning lexical entries for robotic commands using crowdsourcing,http://arxiv.org/pdf/1609.02549v3,,08/09/2016 20:51,cs.CL,http://arxiv.org/abs/1609.02549v3,1,172
"listen, interact and talk: learning to speak via interaction",http://arxiv.org/pdf/1705.09906v1,,28/05/2017 08:48,cs.CL,http://arxiv.org/abs/1705.09906v1,1,173
spiral language modeling,http://arxiv.org/pdf/2112.10543v1,,20/12/2021 14:08,cs.CL,http://arxiv.org/abs/2112.10543v1,1,176
natural language decomposition and interpretation of complex utterances,http://arxiv.org/pdf/2305.08677v1,,15/05/2023 15:35,cs.CL,http://arxiv.org/abs/2305.08677v1,1,177
low-dimensional structure in the space of language representations is reflected in brain responses,http://arxiv.org/pdf/2106.05426v4,,09/06/2021 23:59,cs.CL,http://arxiv.org/abs/2106.05426v4,1,179
"cool, a context outlooker, and its application to question answering and other natural language processing tasks",http://arxiv.org/pdf/2204.09593v2,,01/04/2022 08:03,cs.CL,http://arxiv.org/abs/2204.09593v2,1,181
assessing language models with scaling properties,http://arxiv.org/pdf/1804.08881v1,,24/04/2018 08:58,cs.CL,http://arxiv.org/abs/1804.08881v1,1,182
estimating subjective crowd-evaluations as an additional objective to improve natural language generation,http://arxiv.org/pdf/2104.05224v1,,12/04/2021 07:33,cs.CL,http://arxiv.org/abs/2104.05224v1,1,184
language without words: a pointillist model for natural language processing,http://arxiv.org/pdf/1212.3228v1,,11/12/2012 20:19,cs.CL,http://arxiv.org/abs/1212.3228v1,1,186
a novel task-oriented text corpus in silent speech recognition and its natural language generation construction method,http://arxiv.org/pdf/1905.01974v1,,19/04/2019 09:21,cs.CL,http://arxiv.org/abs/1905.01974v1,1,189
knowledge graph extraction from videos,http://arxiv.org/pdf/2007.10040v1,,20/07/2020 13:23,cs.CL,http://arxiv.org/abs/2007.10040v1,1,192
exploring language similarities with dimensionality reduction technique,http://arxiv.org/pdf/1902.06092v1,,16/02/2019 11:27,cs.CL,http://arxiv.org/abs/1902.06092v1,1,193
lvp-m3: language-aware visual prompt for multilingual multimodal machine translation,http://arxiv.org/pdf/2210.15461v2,,19/10/2022 13:21,cs.CL,http://arxiv.org/abs/2210.15461v2,1,196
eriberta: a bilingual pre-trained language model for clinical natural language processing,http://arxiv.org/pdf/2306.07373v1,,12/06/2023 19:56,cs.CL,http://arxiv.org/abs/2306.07373v1,1,203
evolution of transfer learning in natural language processing,http://arxiv.org/pdf/1910.07370v1,,16/10/2019 15:24,cs.CL,http://arxiv.org/abs/1910.07370v1,1,206
guiding symbolic natural language grammar induction via transformer-based sequence probabilities,http://arxiv.org/pdf/2005.12533v1,,26/05/2020 07:18,cs.CL,http://arxiv.org/abs/2005.12533v1,1,211
pre-trained language model based active learning for sentence matching,http://arxiv.org/pdf/2010.05522v1,,12/10/2020 09:24,cs.CL,http://arxiv.org/abs/2010.05522v1,1,212
explaining natural language processing classifiers with occlusion and language modeling,http://arxiv.org/pdf/2101.11889v1,,28/01/2021 09:44,cs.CL,http://arxiv.org/abs/2101.11889v1,1,215
syntax-based attention model for natural language inference,http://arxiv.org/pdf/1607.06556v1,,22/07/2016 05:21,cs.CL,http://arxiv.org/abs/1607.06556v1,1,217
alter: auxiliary text rewriting tool for natural language generation,http://arxiv.org/pdf/1909.06564v1,,14/09/2019 10:18,cs.CL,http://arxiv.org/abs/1909.06564v1,1,218
fast and scalable expansion of natural language understanding functionality for intelligent agents,http://arxiv.org/pdf/1805.01542v1,,03/05/2018 22:21,cs.CL,http://arxiv.org/abs/1805.01542v1,1,219
attention boosted sequential inference model,http://arxiv.org/pdf/1812.01840v2,,05/12/2018 07:24,cs.CL,http://arxiv.org/abs/1812.01840v2,1,220
a hybrid natural language generation system integrating rules and deep learning algorithms,http://arxiv.org/pdf/2006.09213v2,,15/06/2020 01:50,cs.CL,http://arxiv.org/abs/2006.09213v2,1,222
nuig-shubhanker@dravidian-codemix-fire2020: sentiment analysis of code-mixed dravidian text using xlnet,http://arxiv.org/pdf/2010.07773v1,,15/10/2020 15:09,cs.CL,http://arxiv.org/abs/2010.07773v1,1,223
the impact of lexical and grammatical processing on generating code from natural language,http://arxiv.org/pdf/2202.13972v2,,28/02/2022 17:23,cs.CL,http://arxiv.org/abs/2202.13972v2,1,225
automatic debate evaluation with argumentation semantics and natural language argument graph networks,http://arxiv.org/pdf/2203.14647v1,,28/03/2022 12:09,cs.CL,http://arxiv.org/abs/2203.14647v1,1,226
fine-grained sentiment classification using bert,http://arxiv.org/pdf/1910.03474v1,,04/10/2019 10:20,cs.CL,http://arxiv.org/abs/1910.03474v1,1,228
implementation of general formal translators,http://arxiv.org/pdf/2212.08482v2,,16/12/2022 13:55,cs.CL,http://arxiv.org/abs/2212.08482v2,1,229
using natural language processing and networks to automate structured literature reviews: an application to farmers climate change adaptation,http://arxiv.org/pdf/2306.09737v1,,16/06/2023 11:05,cs.CL,http://arxiv.org/abs/2306.09737v1,1,230
caesar: context awareness enabled summary-attentive reader,http://arxiv.org/pdf/1803.01335v1,,04/03/2018 11:07,cs.CL,http://arxiv.org/abs/1803.01335v1,1,232
spoiler alert: using natural language processing to detect spoilers in book reviews,http://arxiv.org/pdf/2102.03882v1,,07/02/2021 18:54,cs.CL,http://arxiv.org/abs/2102.03882v1,1,237
aramus: pushing the limits of data and model scale for arabic natural language processing,http://arxiv.org/pdf/2306.06800v1,,11/06/2023 23:55,cs.CL,http://arxiv.org/abs/2306.06800v1,1,239
climatebert: a pretrained language model for climate-related text,http://arxiv.org/pdf/2110.12010v3,,22/10/2021 19:47,cs.CL,http://arxiv.org/abs/2110.12010v3,1,242
a language model for grammatical error correction in l2 russian,http://arxiv.org/pdf/2307.01609v1,,04/07/2023 10:50,cs.CL,http://arxiv.org/abs/2307.01609v1,1,251
addressee and response selection for multilingual conversation,http://arxiv.org/pdf/1808.03915v1,,12/08/2018 10:37,cs.CL,http://arxiv.org/abs/1808.03915v1,1,254
adam: a sandbox for implementing language learning,http://arxiv.org/pdf/2105.02263v1,,05/05/2021 19:19,cs.CL,http://arxiv.org/abs/2105.02263v1,1,258
in memoriam maurice gross,http://arxiv.org/pdf/0711.3452v1,,21/11/2007 20:38,cs.CL,http://arxiv.org/abs/0711.3452v1,1,260
tools and resources for romanian text-to-speech and speech-to-text applications,http://arxiv.org/pdf/1802.05583v1,,15/02/2018 14:50,cs.CL,http://arxiv.org/abs/1802.05583v1,1,268
considerations for meaningful sign language machine translation based on glosses,http://arxiv.org/pdf/2211.15464v1,,28/11/2022 15:51,cs.CL,http://arxiv.org/abs/2211.15464v1,1,269
correcting automated and manual speech transcription errors using warped language models,http://arxiv.org/pdf/2103.14580v1,,26/03/2021 16:43,cs.CL,http://arxiv.org/abs/2103.14580v1,1,271
co-occurrences using fasttext embeddings for word similarity tasks in urdu,http://arxiv.org/pdf/2102.10957v1,,22/02/2021 12:56,cs.CL,http://arxiv.org/abs/2102.10957v1,1,273
cino: a chinese minority pre-trained language model,http://arxiv.org/pdf/2202.13558v2,,28/02/2022 06:02,cs.CL,http://arxiv.org/abs/2202.13558v2,1,275
changing the representation: examining language representation for neural sign language production,http://arxiv.org/pdf/2210.06312v1,,16/09/2022 13:45,cs.CL,http://arxiv.org/abs/2210.06312v1,1,276
a no-code low-code paradigm for authoring business automations using natural language,http://arxiv.org/pdf/2207.10648v1,,15/07/2022 20:17,cs.CL,http://arxiv.org/abs/2207.10648v1,1,282
knowledge-driven natural language understanding of english text and its applications,http://arxiv.org/pdf/2101.11707v1,,27/01/2021 22:02,cs.CL,http://arxiv.org/abs/2101.11707v1,1,288
natural language and spatial rules,http://arxiv.org/pdf/2111.14066v1,,28/11/2021 07:18,cs.CL,http://arxiv.org/abs/2111.14066v1,1,291
tackling vision language tasks through learning inner monologues,http://arxiv.org/pdf/2308.09970v1,,19/08/2023 11:10,cs.CL,http://arxiv.org/abs/2308.09970v1,1,293
information propagation by composited labels in natural language processing,http://arxiv.org/pdf/2205.11509v1,,24/05/2022 00:19,cs.CL,http://arxiv.org/abs/2205.11509v1,1,295
natural language processing on customer note data,http://arxiv.org/pdf/2305.02029v1,,03/05/2023 11:36,cs.CL,http://arxiv.org/abs/2305.02029v1,1,296
afrolm: a self-active learning-based multilingual pretrained language model for african languages,http://arxiv.org/pdf/2211.03263v2,,07/11/2022 02:15,cs.CL,http://arxiv.org/abs/2211.03263v2,1,300
"natural language processing in ethiopian languages: current state, challenges, and opportunities",http://arxiv.org/pdf/2303.14406v1,,25/03/2023 09:04,cs.CL,http://arxiv.org/abs/2303.14406v1,1,304
visobert: a pre-trained language model for vietnamese social media text processing,http://arxiv.org/pdf/2310.11166v1,,17/10/2023 12:34,cs.CL,http://arxiv.org/abs/2310.11166v1,1,306
fault detection system for arabic language,http://arxiv.org/pdf/1203.2498v2,,08/03/2012 13:28,cs.CL,http://arxiv.org/abs/1203.2498v2,1,309
language acquisition in computers,http://arxiv.org/pdf/1206.0042v1,,31/05/2012 23:02,cs.CL,http://arxiv.org/abs/1206.0042v1,1,312
machine translation: a literature review,http://arxiv.org/pdf/1901.01122v1,,28/12/2018 19:04,cs.CL,http://arxiv.org/abs/1901.01122v1,1,314
from english to foreign languages: transferring pre-trained language models,http://arxiv.org/pdf/2002.07306v2,,18/02/2020 00:22,cs.CL,http://arxiv.org/abs/2002.07306v2,1,316
xltime: a cross-lingual knowledge transfer framework for temporal expression extraction,http://arxiv.org/pdf/2205.01757v1,,03/05/2022 21:00,cs.CL,http://arxiv.org/abs/2205.01757v1,1,317
neural translation and automated recognition of icd10 medical entities from natural language,http://arxiv.org/pdf/2004.13839v2,,27/03/2020 18:17,cs.CL,http://arxiv.org/abs/2004.13839v2,1,322
a neural architecture mimicking humans end-to-end for natural language inference,http://arxiv.org/pdf/1611.04741v2,,15/11/2016 08:48,cs.CL,http://arxiv.org/abs/1611.04741v2,1,326
logical analysis of natural language semantics to solve the problem of computer understanding,http://arxiv.org/pdf/1308.1507v1,,07/08/2013 10:09,cs.CL,http://arxiv.org/abs/1308.1507v1,1,332
information retrieval in folktales using natural language processing,http://arxiv.org/pdf/1511.03012v1,,10/11/2015 08:13,cs.CL,http://arxiv.org/abs/1511.03012v1,1,336
word representation or word embedding in persian text,http://arxiv.org/pdf/1712.06674v1,,18/12/2017 21:06,cs.CL,http://arxiv.org/abs/1712.06674v1,1,337
controlled natural language processing as answer set programming: an experiment,http://arxiv.org/pdf/1408.2466v1,,15/07/2014 03:20,cs.CL,http://arxiv.org/abs/1408.2466v1,1,339
a report on the sarcasm detection shared task,http://arxiv.org/pdf/2005.05814v2,,12/05/2020 15:27,cs.CL,http://arxiv.org/abs/2005.05814v2,1,344
rule based stemmer in urdu,http://arxiv.org/pdf/1310.0581v1,,02/10/2013 07:15,cs.CL,http://arxiv.org/abs/1310.0581v1,1,345
developmental negation processing in transformer language models,http://arxiv.org/pdf/2204.14114v1,,29/04/2022 15:07,cs.CL,http://arxiv.org/abs/2204.14114v1,1,346
self-attention networks can process bounded hierarchical languages,http://arxiv.org/pdf/2105.11115v3,,24/05/2021 07:42,cs.CL,http://arxiv.org/abs/2105.11115v3,1,347
where are we in semantic concept extraction for spoken language understanding?,http://arxiv.org/pdf/2106.13045v2,,24/06/2021 15:18,cs.CL,http://arxiv.org/abs/2106.13045v2,1,349
towards a general-purpose linguistic annotation backend,http://arxiv.org/pdf/1812.05272v1,,13/12/2018 05:33,cs.CL,http://arxiv.org/abs/1812.05272v1,1,352
"a comparative study on textual saliency of styles from eye tracking, annotations, and language models",http://arxiv.org/pdf/2212.09873v1,,19/12/2022 21:50,cs.CL,http://arxiv.org/abs/2212.09873v1,1,353
deep learning models to study sentence comprehension in the human brain,http://arxiv.org/pdf/2301.06340v2,,16/01/2023 10:31,cs.CL,http://arxiv.org/abs/2301.06340v2,1,355
a panoramic survey of natural language processing in the arab world,http://arxiv.org/pdf/2011.12631v3,,25/11/2020 10:45,cs.CL,http://arxiv.org/abs/2011.12631v3,1,358
bootstrapping method for developing part-of-speech tagged corpus in low resource languages tagset - a focus on an african igbo,http://arxiv.org/pdf/1903.05225v1,,12/03/2019 21:24,cs.CL,http://arxiv.org/abs/1903.05225v1,1,359
integrating approaches to word representation,http://arxiv.org/pdf/2109.04876v1,,10/09/2021 14:44,cs.CL,http://arxiv.org/abs/2109.04876v1,1,369
step by step loss goes very far: multi-step quantization for adversarial text attacks,http://arxiv.org/pdf/2302.05120v1,,10/02/2023 08:50,cs.CL,http://arxiv.org/abs/2302.05120v1,1,370
a study on neural network language modeling,http://arxiv.org/pdf/1708.07252v1,,24/08/2017 03:14,cs.CL,http://arxiv.org/abs/1708.07252v1,1,372
a continuous space neural language model for bengali language,http://arxiv.org/pdf/2001.05315v1,,11/01/2020 14:50,cs.CL,http://arxiv.org/abs/2001.05315v1,1,374
"bilingual language modeling, a transfer learning technique for roman urdu",http://arxiv.org/pdf/2102.10958v1,,22/02/2021 12:56,cs.CL,http://arxiv.org/abs/2102.10958v1,1,375
indt5: a text-to-text transformer for indigenous languages,http://arxiv.org/pdf/2104.07483v2,,04/04/2021 08:09,cs.CL,http://arxiv.org/abs/2104.07483v2,1,376
challenge dataset of cognates and false friend pairs from indian languages,http://arxiv.org/pdf/2112.09526v1,,17/12/2021 14:23,cs.CL,http://arxiv.org/abs/2112.09526v1,1,378
robbert-2022: updating a dutch language model to account for evolving language use,http://arxiv.org/pdf/2211.08192v1,,15/11/2022 14:55,cs.CL,http://arxiv.org/abs/2211.08192v1,1,379
ethical considerations for machine translation of indigenous languages: giving a voice to the speakers,http://arxiv.org/pdf/2305.19474v1,,31/05/2023 02:04,cs.CL,http://arxiv.org/abs/2305.19474v1,1,382
multilingual multi-figurative language detection,http://arxiv.org/pdf/2306.00121v1,,31/05/2023 19:52,cs.CL,http://arxiv.org/abs/2306.00121v1,1,383
easy-to-read in germany: a survey on its current state and available resources,http://arxiv.org/pdf/2306.03189v1,,05/06/2023 20:00,cs.CL,http://arxiv.org/abs/2306.03189v1,1,384
context-tuning: learning contextualized prompts for natural language generation,http://arxiv.org/pdf/2201.08670v2,,21/01/2022 12:35,cs.CL,http://arxiv.org/abs/2201.08670v2,1,387
chatgpt as data augmentation for compositional generalization: a case study in open intent detection,http://arxiv.org/pdf/2308.13517v1,,25/08/2023 18:51,cs.CL,http://arxiv.org/abs/2308.13517v1,1,388
surf at mediqa 2019: improving performance of natural language inference in the clinical domain by adopting pre-trained language model,http://arxiv.org/pdf/1906.07854v1,,19/06/2019 01:13,cs.CL,http://arxiv.org/abs/1906.07854v1,1,389
deep lexical hypothesis: identifying personality structure in natural language,http://arxiv.org/pdf/2203.02092v1,,04/03/2022 02:06,cs.CL,http://arxiv.org/abs/2203.02092v1,1,390
revisiting and advancing chinese natural language understanding with accelerated heterogeneous knowledge pre-training,http://arxiv.org/pdf/2210.05287v2,,11/10/2022 10:34,cs.CL,http://arxiv.org/abs/2210.05287v2,1,391
contextual text denoising with masked language models,http://arxiv.org/pdf/1910.14080v1,,30/10/2019 18:47,cs.CL,http://arxiv.org/abs/1910.14080v1,1,401
convolutional neural networks with recurrent neural filters,http://arxiv.org/pdf/1808.09315v1,,28/08/2018 15:13,cs.CL,http://arxiv.org/abs/1808.09315v1,1,402
spark nlp: natural language understanding at scale,http://arxiv.org/pdf/2101.10848v1,,26/01/2021 15:11,cs.CL,http://arxiv.org/abs/2101.10848v1,1,403
utilizing large language models for natural interface to pharmacology databases,http://arxiv.org/pdf/2307.15717v1,,26/07/2023 18:50,cs.CL,http://arxiv.org/abs/2307.15717v1,1,407
decoding layer saliency in language transformers,http://arxiv.org/pdf/2308.05219v1,,09/08/2023 21:53,cs.CL,http://arxiv.org/abs/2308.05219v1,1,408
