Title,PdfUrl,PublishedDate,PrimaryCategory,PaperId,PublishedYear
"computational language assessment in patients with speech, language, and communication impairments",http://arxiv.org/pdf/2305.20046v1,31/05/2023 18:20,cs.CL,168,2023
natural language decomposition and interpretation of complex utterances,http://arxiv.org/pdf/2305.08677v1,15/05/2023 15:35,cs.CL,177,2023
eriberta: a bilingual pre-trained language model for clinical natural language processing,http://arxiv.org/pdf/2306.07373v1,12/06/2023 19:56,cs.CL,203,2023
benllmeval: a comprehensive evaluation into the potentials and pitfalls of large language models on bengali nlp,http://arxiv.org/pdf/2309.13173v1,22/09/2023 21:29,cs.CL,205,2023
using natural language processing and networks to automate structured literature reviews: an application to farmers climate change adaptation,http://arxiv.org/pdf/2306.09737v1,16/06/2023 11:05,cs.CL,230,2023
exploring the landscape of natural language processing research,http://arxiv.org/pdf/2307.10652v5,20/07/2023 08:33,cs.CL,231,2023
aramus: pushing the limits of data and model scale for arabic natural language processing,http://arxiv.org/pdf/2306.06800v1,11/06/2023 23:55,cs.CL,239,2023
evotext: enhancing natural language generation models via self-escalation learning for up-to-date knowledge and improved performance,http://arxiv.org/pdf/2302.03896v3,08/02/2023 06:09,cs.CL,244,2023
process-to-text: a framework for the quantitative description of processes in natural language,http://arxiv.org/pdf/2305.14044v1,23/05/2023 14:14,cs.CL,246,2023
the role of ai in human-ai creative writing for hong kong secondary students,http://arxiv.org/pdf/2304.11276v1,22/04/2023 00:50,cs.CL,250,2023
a language model for grammatical error correction in l2 russian,http://arxiv.org/pdf/2307.01609v1,04/07/2023 10:50,cs.CL,251,2023
dn at semeval-2023 task 12: low-resource language text classification via multilingual pretrained language model fine-tuning,http://arxiv.org/pdf/2305.02607v1,04/05/2023 08:28,cs.CL,277,2023
enhancing language representation with constructional information for natural language understanding,http://arxiv.org/pdf/2306.02819v1,05/06/2023 13:15,cs.CL,283,2023
tackling vision language tasks through learning inner monologues,http://arxiv.org/pdf/2308.09970v1,19/08/2023 11:10,cs.CL,293,2023
natural language processing on customer note data,http://arxiv.org/pdf/2305.02029v1,03/05/2023 11:36,cs.CL,296,2023
"natural language processing in ethiopian languages: current state, challenges, and opportunities",http://arxiv.org/pdf/2303.14406v1,25/03/2023 09:04,cs.CL,304,2023
several categories of large language models (llms): a short survey,http://arxiv.org/pdf/2307.10188v1,05/07/2023 19:18,cs.CL,305,2023
visobert: a pre-trained language model for vietnamese social media text processing,http://arxiv.org/pdf/2310.11166v1,17/10/2023 12:34,cs.CL,306,2023
translating natural language to planning goals with large-language models,http://arxiv.org/pdf/2302.05128v1,10/02/2023 09:17,cs.CL,351,2023
deep learning models to study sentence comprehension in the human brain,http://arxiv.org/pdf/2301.06340v2,16/01/2023 10:31,cs.CL,355,2023
step by step loss goes very far: multi-step quantization for adversarial text attacks,http://arxiv.org/pdf/2302.05120v1,10/02/2023 08:50,cs.CL,370,2023
taxi1500: a multilingual dataset for text classification in languages,http://arxiv.org/pdf/2305.08487v1,15/05/2023 10:43,cs.CL,381,2023
ethical considerations for machine translation of indigenous languages: giving a voice to the speakers,http://arxiv.org/pdf/2305.19474v1,31/05/2023 02:04,cs.CL,382,2023
multilingual multi-figurative language detection,http://arxiv.org/pdf/2306.00121v1,31/05/2023 19:52,cs.CL,383,2023
easy-to-read in germany: a survey on its current state and available resources,http://arxiv.org/pdf/2306.03189v1,05/06/2023 20:00,cs.CL,384,2023
chatgpt as data augmentation for compositional generalization: a case study in open intent detection,http://arxiv.org/pdf/2308.13517v1,25/08/2023 18:51,cs.CL,388,2023
globalbench: a benchmark for global progress in natural language processing,http://arxiv.org/pdf/2305.14716v1,24/05/2023 05:36,cs.CL,394,2023
utilizing large language models for natural interface to pharmacology databases,http://arxiv.org/pdf/2307.15717v1,26/07/2023 18:50,cs.CL,407,2023
decoding layer saliency in language transformers,http://arxiv.org/pdf/2308.05219v1,09/08/2023 21:53,cs.CL,408,2023
rigorously assessing natural language explanations of neurons,http://arxiv.org/pdf/2309.10312v1,19/09/2023 05:49,cs.CL,428,2023
don't trust gpt when your question is not in english,http://arxiv.org/pdf/2305.16339v1,24/05/2023 03:05,cs.CL,438,2023
benchmarking large language model capabilities for conditional generation,http://arxiv.org/pdf/2306.16793v1,29/06/2023 09:59,cs.CL,439,2023
strahler number of natural language sentences in comparison with random trees,http://arxiv.org/pdf/2307.02697v2,06/07/2023 01:06,cs.CL,449,2023
"generative pre-trained transformer: a comprehensive review on enabling technologies, potential applications, emerging challenges, and future directions",http://arxiv.org/pdf/2305.10435v2,11/05/2023 20:20,cs.CL,450,2023
a study of conceptual language similarity: comparison and evaluation,http://arxiv.org/pdf/2305.13401v1,22/05/2023 19:28,cs.CL,464,2023
zero-shot continuous prompt transfer: generalizing task semantics across language models,http://arxiv.org/pdf/2310.01691v1,03/10/2023 00:12,cs.CL,465,2023
exploring data augmentation for code generation tasks,http://arxiv.org/pdf/2302.03499v1,05/02/2023 14:30,cs.CL,469,2023
false perspectives on human language: why statistics needs linguistics,http://arxiv.org/pdf/2302.08822v1,17/02/2023 11:40,cs.CL,470,2023
is chatgpt a general-purpose natural language processing task solver?,http://arxiv.org/pdf/2302.06476v2,08/02/2023 09:44,cs.CL,477,2023
can language models solve graph problems in natural language?,http://arxiv.org/pdf/2305.10037v1,17/05/2023 09:29,cs.CL,484,2023
what makes a language easy to deep-learn?,http://arxiv.org/pdf/2302.12239v2,23/02/2023 18:57,cs.CL,487,2023
knowledge graph guided semantic evaluation of language models for user trust,http://arxiv.org/pdf/2305.04989v1,08/05/2023 19:53,cs.CL,488,2023
consistency is key: disentangling label variation in natural language processing with intra-annotator agreement,http://arxiv.org/pdf/2301.10684v1,25/01/2023 16:38,cs.CL,515,2023
uzbektagger: the rule-based pos tagger for uzbek language,http://arxiv.org/pdf/2301.12711v2,30/01/2023 07:40,cs.CL,532,2023
noisy parallel data alignment,http://arxiv.org/pdf/2301.09685v2,23/01/2023 19:26,cs.CL,547,2023
when do discourse markers affect computational sentence understanding?,http://arxiv.org/pdf/2309.00368v1,01/09/2023 10:54,cs.CL,559,2023
language embeddings sometimes contain typological generalizations,http://arxiv.org/pdf/2301.08115v1,19/01/2023 15:09,cs.CL,580,2023
mitigating data scarcity for large language models,http://arxiv.org/pdf/2302.01806v1,03/02/2023 15:17,cs.CL,581,2023
a survey of corpora for germanic low-resource languages and dialects,http://arxiv.org/pdf/2304.09805v1,19/04/2023 17:45,cs.CL,582,2023
why can neural language models solve next-word prediction? a mathematical perspective,http://arxiv.org/pdf/2306.17184v1,20/06/2023 11:41,cs.CL,583,2023
improving language plasticity via pretraining with active forgetting,http://arxiv.org/pdf/2307.01163v2,03/07/2023 18:12,cs.CL,584,2023
llasm: large language and speech model,http://arxiv.org/pdf/2308.15930v3,30/08/2023 11:12,cs.CL,587,2023
cosmo: a constructor specification language for abstract wikipedia's content selection process,http://arxiv.org/pdf/2308.02539v1,01/08/2023 14:57,cs.CL,590,2023
large language models can accomplish business process management tasks,http://arxiv.org/pdf/2307.09923v1,19/07/2023 12:54,cs.CL,605,2023
improving natural language inference in arabic using transformer models and linguistically informed pre-training,http://arxiv.org/pdf/2307.14666v1,27/07/2023 08:40,cs.CL,606,2023
making metadata more fair using large language models,http://arxiv.org/pdf/2307.13085v1,24/07/2023 20:14,cs.CL,616,2023
harnessing the power of llms in practice: a survey on chatgpt and beyond,http://arxiv.org/pdf/2304.13712v2,26/04/2023 18:52,cs.CL,622,2023
classla-stanza: the next step for linguistic processing of south slavic languages,http://arxiv.org/pdf/2308.04255v2,08/08/2023 14:41,cs.CL,626,2023
prototype of a robotic system to assist the learning process of english language with text-generation through dnn,http://arxiv.org/pdf/2309.11142v1,20/09/2023 09:39,cs.CL,627,2023
iterative translation refinement with large language models,http://arxiv.org/pdf/2306.03856v1,06/06/2023 17:51,cs.CL,641,2023
procedural text mining with large language models,http://arxiv.org/pdf/2310.03376v1,05/10/2023 09:27,cs.CL,642,2023
expanding scope: adapting english adversarial attacks to chinese,http://arxiv.org/pdf/2306.04874v1,08/06/2023 03:07,cs.CL,655,2023
rethinking the evaluating framework for natural language understanding in ai systems: language acquisition as a core for future metrics,http://arxiv.org/pdf/2309.11981v3,21/09/2023 12:34,cs.CL,657,2023
biot5: enriching cross-modal integration in biology with chemical knowledge and natural language associations,http://arxiv.org/pdf/2310.07276v2,11/10/2023 08:57,cs.CL,688,2023
meta predictive learning model of languages in neural circuits,http://arxiv.org/pdf/2309.04106v2,08/09/2023 04:58,cs.CL,691,2023
adapting to the low-resource double-bind: investigating low-compute methods on low-resource african languages,http://arxiv.org/pdf/2303.16985v1,29/03/2023 20:25,cs.CL,698,2023
language acquisition: do children and language models follow similar learning stages?,http://arxiv.org/pdf/2306.03586v1,06/06/2023 12:08,cs.CL,699,2023
bridging the language gap: knowledge injected multilingual question answering,http://arxiv.org/pdf/2304.03159v1,06/04/2023 16:41,cs.CL,711,2023
a review of digital learning environments for teaching natural language processing in k-12 education,http://arxiv.org/pdf/2310.01603v1,02/10/2023 20:54,cs.CL,716,2023
constructing word-context-coupled space aligned with associative knowledge relations for interpretable language modeling,http://arxiv.org/pdf/2305.11543v2,19/05/2023 10:26,cs.CL,722,2023
exploring the in-context learning ability of large language model for biomedical concept linking,http://arxiv.org/pdf/2307.01137v1,03/07/2023 17:19,cs.CL,735,2023
scandeval: a benchmark for scandinavian natural language processing,http://arxiv.org/pdf/2304.00906v1,03/04/2023 12:51,cs.CL,776,2023
mpmr: a multilingual pre-trained machine reader at scale,http://arxiv.org/pdf/2305.13645v1,23/05/2023 04:40,cs.CL,778,2023
an open dataset and model for language identification,http://arxiv.org/pdf/2305.13820v1,23/05/2023 09:43,cs.CL,779,2023
why does zero-shot cross-lingual generation fail? an explanation and a solution,http://arxiv.org/pdf/2305.17325v1,27/05/2023 03:04,cs.CL,780,2023
cross-lingual transfer learning for phrase break prediction with multilingual language model,http://arxiv.org/pdf/2306.02579v1,05/06/2023 05:10,cs.CL,781,2023
universal language modelling agent,http://arxiv.org/pdf/2306.06521v1,10/06/2023 22:09,cs.CL,782,2023
izindaba-tindzaba: machine learning news categorisation for long and short text for isizulu and siswati,http://arxiv.org/pdf/2306.07426v1,12/06/2023 22:02,cs.CL,783,2023
multilingual multiword expression identification using lateral inhibition and domain adaptation,http://arxiv.org/pdf/2306.10419v1,17/06/2023 21:28,cs.CL,785,2023
large language models only pass primary school exams in indonesia: a comprehensive test on indommlu,http://arxiv.org/pdf/2310.04928v1,07/10/2023 22:49,cs.CL,787,2023
reformulating nlp tasks to capture longitudinal manifestation of language disorders in people with dementia,http://arxiv.org/pdf/2310.09897v1,15/10/2023 18:58,cs.CL,788,2023
how generative spoken language modeling encodes noisy speech: investigation from phonetics to syntactics,http://arxiv.org/pdf/2306.00697v1,01/06/2023 15:07,cs.CL,796,2023
low resource summarization using pre-trained language models,http://arxiv.org/pdf/2310.02790v1,04/10/2023 14:09,cs.CL,804,2023
context-aware adversarial attack on named entity recognition,http://arxiv.org/pdf/2309.08999v1,16/09/2023 15:04,cs.CL,826,2023
sentence simplification via large language models,http://arxiv.org/pdf/2302.11957v1,23/02/2023 12:11,cs.CL,858,2023
classifying covid-19 related tweets for fake news detection and sentiment analysis with bert-based models,http://arxiv.org/pdf/2304.00636v1,02/04/2023 23:00,cs.CL,859,2023
training data extraction from pre-trained language models: a survey,http://arxiv.org/pdf/2305.16157v1,25/05/2023 16:23,cs.CL,860,2023
multilingual end to end entity linking,http://arxiv.org/pdf/2306.08896v1,15/06/2023 08:02,cs.CL,861,2023
tracking public attitudes toward chatgpt on twitter using sentiment analysis and topic modeling,http://arxiv.org/pdf/2306.12951v1,22/06/2023 16:10,cs.CL,862,2023
trafficsafetygpt: tuning a pre-trained large language model to a domain-specific expert in transportation safety,http://arxiv.org/pdf/2307.15311v1,28/07/2023 06:17,cs.CL,863,2023
vulgar remarks detection in chittagonian dialect of bangla,http://arxiv.org/pdf/2308.15448v1,29/08/2023 18:19,cs.CL,864,2023
benchmarking multilabel topic classification in the kyrgyz language,http://arxiv.org/pdf/2308.15952v1,30/08/2023 12:02,cs.CL,865,2023
albner: a corpus for named entity recognition in albanian,http://arxiv.org/pdf/2309.08741v1,15/09/2023 21:03,cs.CL,866,2023
eveval: a comprehensive evaluation of event semantics for large language models,http://arxiv.org/pdf/2305.15268v1,24/05/2023 16:55,cs.CL,867,2023
"unlocking the potential of chatgpt: a comprehensive exploration of its applications, advantages, limitations, and future directions in natural language processing",http://arxiv.org/pdf/2304.02017v5,27/03/2023 22:27,cs.CL,870,2023
hindi to english: transformer-based neural machine translation,http://arxiv.org/pdf/2309.13222v1,23/09/2023 01:00,cs.CL,872,2023
antarlekhaka: a comprehensive tool for multi-task natural language annotation,http://arxiv.org/pdf/2310.07826v1,11/10/2023 20:09,cs.CL,873,2023
ngambay-french neural machine translation (sba-fr),http://arxiv.org/pdf/2308.13497v1,25/08/2023 18:13,cs.CL,879,2023
a comprehensive review of state-of-the-art methods for java code generation from natural language text,http://arxiv.org/pdf/2306.06371v1,10/06/2023 08:27,cs.CL,883,2023
simple yet effective code-switching language identification with multitask pre-training and transfer learning,http://arxiv.org/pdf/2305.19759v1,31/05/2023 12:43,cs.CL,896,2023
use of social media and natural language processing (nlp) in natural hazard research,http://arxiv.org/pdf/2304.08341v1,17/04/2023 16:03,cs.CL,899,2023
deductive verification of chain-of-thought reasoning,http://arxiv.org/pdf/2306.03872v3,06/06/2023 18:18,cs.CL,900,2023
massively multilingual language models for cross lingual fact extraction from low resource indian languages,http://arxiv.org/pdf/2302.04790v1,09/02/2023 17:29,cs.CL,920,2023
large language models are not strong abstract reasoners,http://arxiv.org/pdf/2305.19555v2,31/05/2023 05:50,cs.CL,921,2023
multilingual clinical ner: translation or cross-lingual transfer?,http://arxiv.org/pdf/2306.04384v1,07/06/2023 13:31,cs.CL,927,2023
how robust is gpt-3.5 to predecessors? a comprehensive study on language understanding tasks,http://arxiv.org/pdf/2303.00293v1,01/03/2023 07:39,cs.CL,945,2023
improving grounded language understanding in a collaborative environment by interacting with agents through help feedback,http://arxiv.org/pdf/2304.10750v1,21/04/2023 06:37,cs.CL,946,2023
neural machine translation for code generation,http://arxiv.org/pdf/2305.13504v1,22/05/2023 22:43,cs.CL,947,2023
prompt2model: generating deployable models from natural language instructions,http://arxiv.org/pdf/2308.12261v1,23/08/2023 18:28,cs.CL,948,2023
toward quantum machine translation of syntactically distinct languages,http://arxiv.org/pdf/2307.16576v1,31/07/2023 12:24,cs.CL,952,2023
beyond rule-based named entity recognition and relation extraction for process model generation from natural language text,http://arxiv.org/pdf/2305.03960v2,06/05/2023 08:06,cs.CL,953,2023
what a situated language-using agent must be able to do: a top-down analysis,http://arxiv.org/pdf/2302.08590v1,16/02/2023 21:30,cs.CL,956,2023
chatgpt and a new academic reality: artificial intelligence-written research papers and the ethics of the large language models in scholarly publishing,http://arxiv.org/pdf/2303.13367v2,21/03/2023 14:35,cs.CL,966,2023
"large language models in biomedical natural language processing: benchmarks, baselines, and recommendations",http://arxiv.org/pdf/2305.16326v1,10/05/2023 14:40,cs.CL,967,2023
on the difference of bert-style and clip-style text encoders,http://arxiv.org/pdf/2306.03678v1,06/06/2023 14:41,cs.CL,968,2023
clickbait classification and spoiling using natural language processing,http://arxiv.org/pdf/2306.14907v1,16/06/2023 02:45,cs.CL,969,2023
"""i'm"" lost in translation: pronoun missteps in crowdsourced data sets",http://arxiv.org/pdf/2304.13557v1,22/04/2023 10:27,cs.CL,989,2023
gpt-4: a review on advancements and opportunities in natural language processing,http://arxiv.org/pdf/2305.03195v1,04/05/2023 23:46,cs.CL,990,2023
latincy: synthetic trained pipelines for latin nlp,http://arxiv.org/pdf/2305.04365v1,07/05/2023 20:59,cs.CL,991,2023
"""im not racist but..."": discovering bias in the internal knowledge of large language models",http://arxiv.org/pdf/2310.08780v1,13/10/2023 01:03,cs.CL,992,2023
analyzing sports commentary in order to automatically recognize events and extract insights,http://arxiv.org/pdf/2307.10303v1,18/07/2023 19:51,cs.CL,1018,2023
user-centered security in natural language processing,http://arxiv.org/pdf/2301.04230v1,10/01/2023 22:34,cs.CL,1051,2023
comprehensive event representations using event knowledge graphs and natural language processing,http://arxiv.org/pdf/2303.04794v1,08/03/2023 18:43,cs.CL,1052,2023
requirement formalisation using natural language processing and machine learning: a systematic review,http://arxiv.org/pdf/2303.13365v1,18/03/2023 17:36,cs.CL,1053,2023
"uncertainty in natural language processing: sources, quantification, and applications",http://arxiv.org/pdf/2306.04459v1,05/06/2023 07:46,cs.CL,1054,2023
word class representations spontaneously emerge in a deep neural network trained on next word prediction,http://arxiv.org/pdf/2302.07588v1,15/02/2023 11:02,cs.CL,1055,2023
lmexplainer: a knowledge-enhanced explainer for language models,http://arxiv.org/pdf/2303.16537v2,29/03/2023 09:59,cs.CL,1064,2023
nondeterministic stacks in neural networks,http://arxiv.org/pdf/2304.12955v2,25/04/2023 17:00,cs.CL,1068,2023
tab-cot: zero-shot tabular chain of thought,http://arxiv.org/pdf/2305.17812v1,28/05/2023 21:49,cs.CL,1073,2023
clinicalgpt: large language models finetuned with diverse medical data and comprehensive evaluation,http://arxiv.org/pdf/2306.09968v1,16/06/2023 17:56,cs.CL,1092,2023
lexicon and rule-based word lemmatization approach for the somali language,http://arxiv.org/pdf/2308.01785v1,03/08/2023 15:31,cs.CL,1093,2023
augmenting llms with knowledge: a survey on hallucination prevention,http://arxiv.org/pdf/2309.16459v1,28/09/2023 15:09,cs.CL,1094,2023
statistical machine translation for indic languages,http://arxiv.org/pdf/2301.00539v1,02/01/2023 06:23,cs.CL,1155,2023
exploring methods for building dialects-mandarin code-mixing corpora: a case study in taiwanese hokkien,http://arxiv.org/pdf/2301.08937v1,21/01/2023 11:04,cs.CL,1156,2023
beyond arabic: software for perso-arabic script manipulation,http://arxiv.org/pdf/2301.11406v1,26/01/2023 20:37,cs.CL,1157,2023
semantic network model for sign language comprehension,http://arxiv.org/pdf/2301.11709v1,27/01/2023 13:43,cs.CL,1158,2023
large language models can be easily distracted by irrelevant context,http://arxiv.org/pdf/2302.00093v3,31/01/2023 20:48,cs.CL,1159,2023
what do language models know about word senses? zero-shot wsd with language models and domain inventories,http://arxiv.org/pdf/2302.03353v1,07/02/2023 09:55,cs.CL,1160,2023
switchprompt: learning domain-specific gated soft prompts for classification in low-resource domains,http://arxiv.org/pdf/2302.06868v1,14/02/2023 07:14,cs.CL,1161,2023
"bbt-fin: comprehensive construction of chinese financial domain pre-trained language model, corpus and benchmark",http://arxiv.org/pdf/2302.09432v2,18/02/2023 22:20,cs.CL,1162,2023
h-aes: towards automated essay scoring for hindi,http://arxiv.org/pdf/2302.14635v1,28/02/2023 15:14,cs.CL,1163,2023
a persian benchmark for joint intent detection and slot filling,http://arxiv.org/pdf/2303.00408v1,01/03/2023 10:57,cs.CL,1164,2023
uzbek text summarization based on tf-idf,http://arxiv.org/pdf/2303.00461v1,01/03/2023 12:39,cs.CL,1165,2023
an overview on language models: recent developments and outlook,http://arxiv.org/pdf/2303.05759v2,10/03/2023 07:55,cs.CL,1166,2023
unified text structuralization with instruction-tuned language models,http://arxiv.org/pdf/2303.14956v2,27/03/2023 08:39,cs.CL,1167,2023
a bert-based unsupervised grammatical error correction framework,http://arxiv.org/pdf/2303.17367v1,30/03/2023 14:29,cs.CL,1168,2023
"transcending the ""male code"": implicit masculine biases in nlp contexts",http://arxiv.org/pdf/2304.12810v1,22/04/2023 04:53,cs.CL,1169,2023
low-resourced machine translation for senegalese wolof language,http://arxiv.org/pdf/2305.00606v1,01/05/2023 01:04,cs.CL,1170,2023
drafting event schemas using language models,http://arxiv.org/pdf/2305.14847v1,24/05/2023 08:57,cs.CL,1171,2023
findings of the vardial evaluation campaign,http://arxiv.org/pdf/2305.20080v1,31/05/2023 18:55,cs.CL,1172,2023
computational language assessment: open brain ai,http://arxiv.org/pdf/2306.06693v1,11/06/2023 15:37,cs.CL,1173,2023
jamp: controlled japanese temporal inference dataset for evaluating generalization capacity of language models,http://arxiv.org/pdf/2306.10727v1,19/06/2023 08:00,cs.CL,1174,2023
does correction remain a problem for large language models?,http://arxiv.org/pdf/2308.01776v2,03/08/2023 15:09,cs.CL,1175,2023
bridging the gap: deciphering tabular data using large language model,http://arxiv.org/pdf/2308.11891v2,23/08/2023 04:38,cs.CL,1176,2023
sequence-to-sequence spanish pre-trained language models,http://arxiv.org/pdf/2309.11259v1,20/09/2023 13:35,cs.CL,1177,2023
larth: dataset and machine translation for etruscan,http://arxiv.org/pdf/2310.05688v1,09/10/2023 13:56,cs.CL,1178,2023
puoberta: training and evaluation of a curated language model for setswana,http://arxiv.org/pdf/2310.09141v1,13/10/2023 15:33,cs.CL,1179,2023
banglanlp at blp-2023 task 2: benchmarking different transformer models for sentiment analysis of bangla social media posts,http://arxiv.org/pdf/2310.09238v2,13/10/2023 17:46,cs.CL,1180,2023
the quo vadis of the relationship between language and large language models,http://arxiv.org/pdf/2310.11146v1,17/10/2023 11:54,cs.CL,1181,2023
massively multilingual shallow fusion with large language models,http://arxiv.org/pdf/2302.08917v1,17/02/2023 14:46,cs.CL,1205,2023
towards grammatical tagging for the legal language of cybersecurity,http://arxiv.org/pdf/2306.17042v1,29/06/2023 16:39,cs.CL,1206,2023
are large language model-based evaluators the solution to scaling up multilingual evaluation?,http://arxiv.org/pdf/2309.07462v1,14/09/2023 07:41,cs.CL,1207,2023
hugnlp: a unified and comprehensive library for natural language processing,http://arxiv.org/pdf/2302.14286v1,28/02/2023 03:38,cs.CL,1213,2023
bridging natural language processing and psycholinguistics: computationally grounded semantic similarity datasets for basque and spanish,http://arxiv.org/pdf/2304.09616v2,19/04/2023 13:47,cs.CL,1214,2023
debertinha: a multistep approach to adapt debertav3 xsmall for brazilian portuguese natural language processing task,http://arxiv.org/pdf/2309.16844v1,28/09/2023 21:53,cs.CL,1215,2023
estimating post-ocr denoising complexity on numerical texts,http://arxiv.org/pdf/2307.01020v1,03/07/2023 14:49,cs.CL,1219,2023
universal multimodal representation for language understanding,http://arxiv.org/pdf/2301.03344v1,09/01/2023 13:54,cs.CL,1227,2023
a cohesive distillation architecture for neural language models,http://arxiv.org/pdf/2301.08130v2,12/01/2023 08:01,cs.CL,1246,2023
pests: persian_english cross lingual corpus for semantic textual similarity,http://arxiv.org/pdf/2305.07893v2,13/05/2023 12:02,cs.CL,1247,2023
"m3exam: a multilingual, multimodal, multilevel benchmark for examining large language models",http://arxiv.org/pdf/2306.05179v1,08/06/2023 14:21,cs.CL,1248,2023
graphtext: graph reasoning in text space,http://arxiv.org/pdf/2310.01089v1,02/10/2023 12:03,cs.CL,1256,2023
creation of a chatbot based on natural language proccesing for whatsapp,http://arxiv.org/pdf/2310.10675v1,10/10/2023 19:54,cs.CL,1271,2023
tapir: learning adaptive revision for incremental natural language understanding with a two-pass model,http://arxiv.org/pdf/2305.10845v1,18/05/2023 10:58,cs.CL,1276,2023
entity identifier: a natural text parsing-based framework for entity relation extraction,http://arxiv.org/pdf/2307.04892v1,10/07/2023 21:30,cs.CL,1277,2023
chatgpt beyond english: towards a comprehensive evaluation of large language models in multilingual learning,http://arxiv.org/pdf/2304.05613v1,12/04/2023 06:08,cs.CL,1280,2023
gujibert and gujigpt: construction of intelligent information processing foundation language models for ancient texts,http://arxiv.org/pdf/2307.05354v1,11/07/2023 16:44,cs.CL,1294,2023
evaluation of chatgpt for nlp-based mental health applications,http://arxiv.org/pdf/2303.15727v1,28/03/2023 05:47,cs.CL,1322,2023
online gesture recognition using transformer and natural language processing,http://arxiv.org/pdf/2305.03407v1,05/05/2023 11:17,cs.CL,1323,2023
geoglue: a geographic language understanding evaluation benchmark,http://arxiv.org/pdf/2305.06545v1,11/05/2023 04:21,cs.CL,1324,2023
mindgames: targeting theory of mind in large language models with dynamic epistemic modal logic,http://arxiv.org/pdf/2305.03353v1,05/05/2023 09:14,cs.CL,1332,2023
from words to wires: generating functioning electronic devices from natural language descriptions,http://arxiv.org/pdf/2305.14874v2,24/05/2023 09:28,cs.CL,1333,2023
a comparative analysis of pretrained language models for text-to-speech,http://arxiv.org/pdf/2309.01576v1,04/09/2023 14:02,cs.CL,1334,2023
a formalism and approach for improving robustness of large language models using risk-adjusted confidence scores,http://arxiv.org/pdf/2310.03283v1,05/10/2023 04:20,cs.CL,1335,2023
comparative study of pre-trained bert models for code-mixed hindi-english data,http://arxiv.org/pdf/2305.15722v2,25/05/2023 06:10,cs.CL,1338,2023
tuning in to neural encoding: linking human brain and artificial supervised representations of language,http://arxiv.org/pdf/2310.04460v1,05/10/2023 07:31,cs.CL,1339,2023
understanding and predicting human label variation in natural language inference through explanation,http://arxiv.org/pdf/2304.12443v1,24/04/2023 21:45,cs.CL,1389,2023
improving contrastive learning of sentence embeddings from ai feedback,http://arxiv.org/pdf/2305.01918v3,03/05/2023 07:26,cs.CL,1390,2023
