,Title,PDF URL,Author,DOI,Published Date,Summary,Journal Ref,Primary Category,Category,Entry ID
10,Supporting Undotted Arabic with Pre-trained Language Models,http://arxiv.org/pdf/2111.09791v1,"[arxiv.Result.Author('Aviad Rom'), arxiv.Result.Author('Kfir Bar')]",,2021-11-18 16:47:56+00:00,"We observe a recent behaviour on social media, in which users intentionally
remove consonantal dots from Arabic letters, in order to bypass
content-classification algorithms. Content classification is typically done by
fine-tuning pre-trained language models, which have been recently employed by
many natural-language-processing applications. In this work we study the effect
of applying pre-trained Arabic language models on ""undotted"" Arabic texts. We
suggest several ways of supporting undotted texts with pre-trained models,
without additional training, and measure their performance on two Arabic
natural-language-processing downstream tasks. The results are encouraging; in
one of the tasks our method shows nearly perfect performance.",,cs.CL,"['cs.CL', 'cs.LG']",http://arxiv.org/abs/2111.09791v1
11,Continuous multilinguality with language vectors,http://arxiv.org/pdf/1612.07486v2,"[arxiv.Result.Author('Robert Östling'), arxiv.Result.Author('Jörg Tiedemann')]",,2016-12-22 08:29:25+00:00,"Most existing models for multilingual natural language processing (NLP) treat
language as a discrete category, and make predictions for either one language
or the other. In contrast, we propose using continuous vector representations
of language. We show that these can be learned efficiently with a
character-based neural language model, and used to improve inference about
language varieties not seen during training. In experiments with 1303 Bible
translations into 990 different languages, we empirically explore the capacity
of multilingual language models, and also show that the language vectors
capture genetic relationships between languages.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1612.07486v2
12,Including Signed Languages in Natural Language Processing,http://arxiv.org/pdf/2105.05222v2,"[arxiv.Result.Author('Kayo Yin'), arxiv.Result.Author('Amit Moryossef'), arxiv.Result.Author('Julie Hochgesang'), arxiv.Result.Author('Yoav Goldberg'), arxiv.Result.Author('Malihe Alikhani')]",,2021-05-11 17:37:55+00:00,"Signed languages are the primary means of communication for many deaf and
hard of hearing individuals. Since signed languages exhibit all the fundamental
linguistic properties of natural language, we believe that tools and theories
of Natural Language Processing (NLP) are crucial towards its modeling. However,
existing research in Sign Language Processing (SLP) seldom attempt to explore
and leverage the linguistic organization of signed languages. This position
paper calls on the NLP community to include signed languages as a research area
with high social and scientific impact. We first discuss the linguistic
properties of signed languages to consider during their modeling. Then, we
review the limitations of current SLP models and identify the open challenges
to extend NLP to signed languages. Finally, we urge (1) the adoption of an
efficient tokenization method; (2) the development of linguistically-informed
models; (3) the collection of real-world signed language data; (4) the
inclusion of local signed language communities as an active and leading voice
in the direction of research.",,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']",http://arxiv.org/abs/2105.05222v2
13,Self-move and Other-move: Quantum Categorical Foundations of Japanese,http://arxiv.org/pdf/2210.04451v1,[arxiv.Result.Author('Ryder Dale Walton')],,2022-10-10 06:26:59+00:00,"The purpose of this work is to contribute toward the larger goal of creating
a Quantum Natural Language Processing (QNLP) translator program. This work
contributes original diagrammatic representations of the Japanese language
based on prior work that accomplished on the English language based on category
theory. The germane differences between the English and Japanese languages are
emphasized to help address English language bias in the current body of
research. Additionally, topological principles of these diagrams and many
potential avenues for further research are proposed. Why is this endeavor
important? Hundreds of languages have developed over the course of millennia
coinciding with the evolution of human interaction across time and geographic
location. These languages are foundational to human survival, experience,
flourishing, and living the good life. They are also, however, the strongest
barrier between people groups. Over the last several decades, advancements in
Natural Language Processing (NLP) have made it easier to bridge the gap between
individuals who do not share a common language or culture. Tools like Google
Translate and DeepL make it easier than ever before to share our experiences
with people globally. Nevertheless, these tools are still inadequate as they
fail to convey our ideas across the language barrier fluently, leaving people
feeling anxious and embarrassed. This is particularly true of languages born
out of substantially different cultures, such as English and Japanese. Quantum
computers offer the best chance to achieve translation fluency in that they are
better suited to simulating the natural world and natural phenomenon such as
natural speech.
  Keywords: category theory, DisCoCat, DisCoCirc, Japanese grammar, English
grammar, translation, topology, Quantum Natural Language Processing, Natural
Language Processing",,cs.CL,['cs.CL'],http://arxiv.org/abs/2210.04451v1
14,Problems and Countermeasures in Natural Language Processing Evaluation,http://arxiv.org/pdf/2104.09712v1,"[arxiv.Result.Author('Qingxiu Dong'), arxiv.Result.Author('Zhifang Sui'), arxiv.Result.Author('Weidong Zhan'), arxiv.Result.Author('Baobao Chang')]",,2021-04-20 01:35:16+00:00,"Evaluation in natural language processing guides and promotes research on
models and methods. In recent years, new evalua-tion data sets and evaluation
tasks have been continuously proposed. At the same time, a series of problems
exposed by ex-isting evaluation have also restricted the progress of natural
language processing technology. Starting from the concept, com-position,
development and meaning of natural language evaluation, this article classifies
and summarizes the tasks and char-acteristics of mainstream natural language
evaluation, and then summarizes the problems and causes of natural language
pro-cessing evaluation. Finally, this article refers to the human language
ability evaluation standard, puts forward the concept of human-like machine
language ability evaluation, and proposes a series of basic principles and
implementation ideas for hu-man-like machine language ability evaluation from
the three aspects of reliability, difficulty and validity.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2104.09712v1
15,A Survey of Resources and Methods for Natural Language Processing of Serbian Language,http://arxiv.org/pdf/2304.05468v1,"[arxiv.Result.Author('Ulfeta A. Marovac'), arxiv.Result.Author('Aldina R. Avdić'), arxiv.Result.Author('Nikola Lj. Milošević')]",,2023-04-11 19:33:41+00:00,"The Serbian language is a Slavic language spoken by over 12 million speakers
and well understood by over 15 million people. In the area of natural language
processing, it can be considered a low-resourced language. Also, Serbian is
considered a high-inflectional language. The combination of many word
inflections and low availability of language resources makes natural language
processing of Serbian challenging. Nevertheless, over the past three decades,
there have been a number of initiatives to develop resources and methods for
natural language processing of Serbian, ranging from developing a corpus of
free text from books and the internet, annotated corpora for classification and
named entity recognition tasks to various methods and models performing these
tasks. In this paper, we review the initiatives, resources, methods, and their
availability.",,cs.CL,"['cs.CL', 'cs.DL', 'cs.HC', 'A.1']",http://arxiv.org/abs/2304.05468v1
16,A natural language interface to a graph-based bibliographic information retrieval system,http://arxiv.org/pdf/1612.03231v1,"[arxiv.Result.Author('Yongjun Zhu'), arxiv.Result.Author('Erjia Yan'), arxiv.Result.Author('Il-Yeol Song')]",,2016-12-10 00:32:28+00:00,"With the ever-increasing scientific literature, there is a need on a natural
language interface to bibliographic information retrieval systems to retrieve
related information effectively. In this paper, we propose a natural language
interface, NLI-GIBIR, to a graph-based bibliographic information retrieval
system. In designing NLI-GIBIR, we developed a novel framework that can be
applicable to graph-based bibliographic information retrieval systems. Our
framework integrates algorithms/heuristics for interpreting and analyzing
natural language bibliographic queries. NLI-GIBIR allows users to search for a
variety of bibliographic data through natural language. A series of text- and
linguistic-based techniques are used to analyze and answer natural language
queries, including tokenization, named entity recognition, and syntactic
analysis. We find that our framework can effectively represents and addresses
complex bibliographic information needs. Thus, the contributions of this paper
are as follows: First, to our knowledge, it is the first attempt to propose a
natural language interface to graph-based bibliographic information retrieval.
Second, we propose a novel customized natural language processing framework
that integrates a few original algorithms/heuristics for interpreting and
analyzing natural language bibliographic queries. Third, we show that the
proposed framework and natural language interface provide a practical solution
in building real-world natural language interface-based bibliographic
information retrieval systems. Our experimental results show that the presented
system can correctly answer 39 out of 40 example natural language queries with
varying lengths and complexities.",,cs.IR,"['cs.IR', 'cs.CL']",http://arxiv.org/abs/1612.03231v1
17,Specifying Logic Programs in Controlled Natural Language,http://arxiv.org/pdf/cmp-lg/9507009v1,"[arxiv.Result.Author('Norbert E. Fuchs'), arxiv.Result.Author('Rolf Schwitter')]",,1995-07-21 17:44:05+00:00,"Writing specifications for computer programs is not easy since one has to
take into account the disparate conceptual worlds of the application domain and
of software development. To bridge this conceptual gap we propose controlled
natural language as a declarative and application-specific specification
language. Controlled natural language is a subset of natural language that can
be accurately and efficiently processed by a computer, but is expressive enough
to allow natural usage by non-specialists. Specifications in controlled natural
language are automatically translated into Prolog clauses, hence become formal
and executable. The translation uses a definite clause grammar (DCG) enhanced
by feature structures. Inter-text references of the specification, e.g.
anaphora, are resolved with the help of discourse representation theory (DRT).
The generated Prolog clauses are added to a knowledge base. We have implemented
a prototypical specification system that successfully processes the
specification of a simple automated teller machine.","Proceedings CLNLP 95, COMPULOGNET/ELSNET/EAGLES",cmp-lg,"['cmp-lg', 'cs.CL']",http://arxiv.org/abs/cmp-lg/9507009v1
18,On Even Linear Indexed Languages with a Reduction to the Learning of Context-Free Languages,http://arxiv.org/pdf/1312.0175v2,[arxiv.Result.Author('Benjamin Caulfield')],,2013-12-01 03:16:22+00:00,"This paper presents a restricted form of linear indexed grammars, called even
linear indexed grammars, which yield the even linear indexed languages. These
languages properly contain the context-free languages and are contained in the
set of linear indexed languages. We show that several patterns found in natural
languages are also generated by these grammars, including crossing
dependencies, copying, and multiple agreements. We discuss the learning problem
for even linear indexed languages and show that it is reducible to that of the
context-free languages. The closure properties for this class of languages are
also presented.",,cs.FL,['cs.FL'],http://arxiv.org/abs/1312.0175v2
19,Natural Language Generation Using Link Grammar for General Conversational Intelligence,http://arxiv.org/pdf/2105.00830v1,"[arxiv.Result.Author('Vignav Ramesh'), arxiv.Result.Author('Anton Kolonin')]",,2021-04-19 06:16:07+00:00,"Many current artificial general intelligence (AGI) and natural language
processing (NLP) architectures do not possess general conversational
intelligence--that is, they either do not deal with language or are unable to
convey knowledge in a form similar to the human language without manual,
labor-intensive methods such as template-based customization. In this paper, we
propose a new technique to automatically generate grammatically valid sentences
using the Link Grammar database. This natural language generation method far
outperforms current state-of-the-art baselines and may serve as the final
component in a proto-AGI question answering pipeline that understandably
handles natural language material.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/2105.00830v1
20,Language Tasks and Language Games: On Methodology in Current Natural Language Processing Research,http://arxiv.org/pdf/1908.10747v1,[arxiv.Result.Author('David Schlangen')],,2019-08-28 14:29:13+00:00,"""This paper introduces a new task and a new dataset"", ""we improve the state
of the art in X by Y"" -- it is rare to find a current natural language
processing paper (or AI paper more generally) that does not contain such
statements. What is mostly left implicit, however, is the assumption that this
necessarily constitutes progress, and what it constitutes progress towards.
Here, we make more precise the normally impressionistically used notions of
language task and language game and ask how a research programme built on these
might make progress towards the goal of modelling general language competence.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/1908.10747v1
21,ANGLEr: A Next-Generation Natural Language Exploratory Framework,http://arxiv.org/pdf/2206.08266v1,"[arxiv.Result.Author('Timotej Knez'), arxiv.Result.Author('Marko Bajec'), arxiv.Result.Author('Slavko Žitnik')]",,2022-05-10 13:32:13+00:00,"Natural language processing is used for solving a wide variety of problems.
Some scholars and interest groups working with language resources are not well
versed in programming, so there is a need for a good graphical framework that
allows users to quickly design and test natural language processing pipelines
without the need for programming. The existing frameworks do not satisfy all
the requirements for such a tool. We, therefore, propose a new framework that
provides a simple way for its users to build language processing pipelines. It
also allows a simple programming language agnostic way for adding new modules,
which will help the adoption by natural language processing developers and
researchers. The main parts of the proposed framework consist of (a) a
pluggable Docker-based architecture, (b) a general data model, and (c) APIs
description along with the graphical user interface. The proposed design is
being used for implementation of a new natural language processing framework,
called ANGLEr.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/2206.08266v1
22,Information Flow in Pregroup Models of Natural Language,http://arxiv.org/pdf/1811.03273v1,[arxiv.Result.Author('Peter M. Hines')],10.4204/EPTCS.283.2,2018-11-08 05:10:34+00:00,"This paper is about pregroup models of natural languages, and how they relate
to the explicitly categorical use of pregroups in Compositional Distributional
Semantics and Natural Language Processing. These categorical interpretations
make certain assumptions about the nature of natural languages that, when
stated formally, may be seen to impose strong restrictions on pregroup grammars
for natural languages.
  We formalize this as a hypothesis about the form that pregroup models of
natural languages must take, and demonstrate by an artificial language example
that these restrictions are not imposed by the pregroup axioms themselves. We
compare and contrast the artificial language examples with natural languages
(using Welsh, a language where the 'noun' type cannot be taken as primitive, as
an illustrative example).
  The hypothesis is simply that there must exist a causal connection, or
information flow, between the words of a sentence in a language whose purpose
is to communicate information. This is not necessarily the case with formal
languages that are simply generated by a series of 'meaning-free' rules. This
imposes restrictions on the types of pregroup grammars that we expect to find
in natural languages; we formalize this in algebraic, categorical, and
graphical terms.
  We take some preliminary steps in providing conditions that ensure pregroup
models satisfy these conjectured properties, and discuss the more general forms
this hypothesis may take.","EPTCS 283, 2018, pp. 13-27",cs.CL,"['cs.CL', 'cs.FL']",http://arxiv.org/abs/1811.03273v1
23,Curriculum learning for language modeling,http://arxiv.org/pdf/2108.02170v1,[arxiv.Result.Author('Daniel Campos')],,2021-08-04 16:53:43+00:00,"Language Models like ELMo and BERT have provided robust representations of
natural language, which serve as the language understanding component for a
diverse range of downstream tasks.Curriculum learning is a method that employs
a structured training regime instead, which has been leveraged in computer
vision and machine translation to improve model training speed and model
performance. While language models have proven transformational for the natural
language processing community, these models have proven expensive,
energy-intensive, and challenging to train. In this work, we explore the effect
of curriculum learning on language model pretraining using various
linguistically motivated curricula and evaluate transfer performance on the
GLUE Benchmark. Despite a broad variety of training methodologies and
experiments we do not find compelling evidence that curriculum learning methods
improve language model training.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/2108.02170v1
24,Fuzzy Modeling and Natural Language Processing for Panini's Sanskrit Grammar,http://arxiv.org/pdf/1006.2835v1,[arxiv.Result.Author('P. Venkata Subba Reddy')],,2010-06-14 20:07:32+00:00,"Indian languages have long history in World Natural languages. Panini was the
first to define Grammar for Sanskrit language with about 4000 rules in fifth
century. These rules contain uncertainty information. It is not possible to
Computer processing of Sanskrit language with uncertain information. In this
paper, fuzzy logic and fuzzy reasoning are proposed to deal to eliminate
uncertain information for reasoning with Sanskrit grammar. The Sanskrit
language processing is also discussed in this paper.","Journal of Computer Science and Engineering, Volume 1, Issue 1,
  p99-101, May 2010",cs.CL,['cs.CL'],http://arxiv.org/abs/1006.2835v1
25,Natural Language Understanding Based on Semantic Relations between Sentences,http://arxiv.org/pdf/1212.4674v1,[arxiv.Result.Author('Hyeok Kong')],,2012-12-19 14:40:38+00:00,"In this paper, we define event expression over sentences of natural language
and semantic relations between events. Based on this definition, we formally
consider text understanding process having events as basic unit.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1212.4674v1
26,Thoth: Improved Rapid Serial Visual Presentation using Natural Language Processing,http://arxiv.org/pdf/1908.01699v1,[arxiv.Result.Author('David Awad')],,2019-08-05 15:45:39+00:00,"Thoth is a tool designed to combine many different types of speed reading
technology. The largest insight is using natural language parsing for more
optimal rapid serial visual presentation and more effective reading
information.",,cs.CL,"['cs.CL', 'cs.HC']",http://arxiv.org/abs/1908.01699v1
27,Pretraining with Artificial Language: Studying Transferable Knowledge in Language Models,http://arxiv.org/pdf/2203.10326v2,"[arxiv.Result.Author('Ryokan Ri'), arxiv.Result.Author('Yoshimasa Tsuruoka')]",,2022-03-19 13:29:48+00:00,"We investigate what kind of structural knowledge learned in neural network
encoders is transferable to processing natural language. We design artificial
languages with structural properties that mimic natural language, pretrain
encoders on the data, and see how much performance the encoder exhibits on
downstream tasks in natural language. Our experimental results show that
pretraining with an artificial language with a nesting dependency structure
provides some knowledge transferable to natural language. A follow-up probing
analysis indicates that its success in the transfer is related to the amount of
encoded contextual information and what is transferred is the knowledge of
position-aware context dependence of language. Our results provide insights
into how neural network encoders process human languages and the source of
cross-lingual transferability of recent multilingual language models.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2203.10326v2
28,Categorical Tools for Natural Language Processing,http://arxiv.org/pdf/2212.06636v1,[arxiv.Result.Author('Giovanni de Felice')],,2022-12-13 15:12:37+00:00,"This thesis develops the translation between category theory and
computational linguistics as a foundation for natural language processing. The
three chapters deal with syntax, semantics and pragmatics. First, string
diagrams provide a unified model of syntactic structures in formal grammars.
Second, functors compute semantics by turning diagrams into logical, tensor,
neural or quantum computation. Third, the resulting functorial models can be
composed to form games where equilibria are the solutions of language
processing tasks. This framework is implemented as part of DisCoPy, the Python
library for computing with string diagrams. We describe the correspondence
between categorical, linguistic and computational structures, and demonstrate
their applications in compositional natural language processing.",,cs.CL,"['cs.CL', 'math.CT']",http://arxiv.org/abs/2212.06636v1
29,Unnatural Language Processing: Bridging the Gap Between Synthetic and Natural Language Data,http://arxiv.org/pdf/2004.13645v1,"[arxiv.Result.Author('Alana Marzoev'), arxiv.Result.Author('Samuel Madden'), arxiv.Result.Author('M. Frans Kaashoek'), arxiv.Result.Author('Michael Cafarella'), arxiv.Result.Author('Jacob Andreas')]",,2020-04-28 16:41:00+00:00,"Large, human-annotated datasets are central to the development of natural
language processing models. Collecting these datasets can be the most
challenging part of the development process. We address this problem by
introducing a general purpose technique for ``simulation-to-real'' transfer in
language understanding problems with a delimited set of target behaviors,
making it possible to develop models that can interpret natural utterances
without natural training data. We begin with a synthetic data generation
procedure, and train a model that can accurately interpret utterances produced
by the data generator. To generalize to natural utterances, we automatically
find projections of natural language utterances onto the support of the
synthetic language, using learned sentence embeddings to define a distance
metric. With only synthetic training data, our approach matches or outperforms
state-of-the-art models trained on natural language data in several domains.
These results suggest that simulation-to-real transfer is a practical framework
for developing NLP applications, and that improved models for transfer might
provide wide-ranging improvements in downstream tasks.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2004.13645v1
30,Challenges Encountered in Turkish Natural Language Processing Studies,http://arxiv.org/pdf/2101.11436v1,"[arxiv.Result.Author('Kadir Tohma'), arxiv.Result.Author('Yakup Kutlu')]",,2021-01-21 08:30:33+00:00,"Natural language processing is a branch of computer science that combines
artificial intelligence with linguistics. It aims to analyze a language element
such as writing or speaking with software and convert it into information.
Considering that each language has its own grammatical rules and vocabulary
diversity, the complexity of the studies in this field is somewhat
understandable. For instance, Turkish is a very interesting language in many
ways. Examples of this are agglutinative word structure, consonant/vowel
harmony, a large number of productive derivational morphemes (practically
infinite vocabulary), derivation and syntactic relations, a complex emphasis on
vocabulary and phonological rules. In this study, the interesting features of
Turkish in terms of natural language processing are mentioned. In addition,
summary info about natural language processing techniques, systems and various
sources developed for Turkish are given.","Natural and Engineering Sciences, 2020",cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/2101.11436v1
31,Generalisation of language and knowledge models for corpus analysis,http://arxiv.org/pdf/1203.3227v1,[arxiv.Result.Author('Anton Loss')],,2012-03-14 22:06:42+00:00,"This paper takes new look on language and knowledge modelling for corpus
linguistics. Using ideas of Chaitin, a line of argument is made against
language/knowledge separation in Natural Language Processing. A simplistic
model, that generalises approaches to language and knowledge, is proposed. One
of hypothetical consequences of this model is Strong AI.",,cs.AI,"['cs.AI', 'cs.CL']",http://arxiv.org/abs/1203.3227v1
32,The Dissecting Power of Regular Languages,http://arxiv.org/pdf/1202.4883v3,"[arxiv.Result.Author('Tomoyuki Yamakami'), arxiv.Result.Author('Yuichi Kato')]",,2012-02-22 11:16:47+00:00,"A recent study on structural properties of regular and context-free languages
has greatly promoted our basic understandings of the complex behaviors of those
languages. We continue the study to examine how regular languages behave when
they need to cut numerous infinite languages. A particular interest rests on a
situation in which a regular language needs to ""dissect"" a given infinite
language into two subsets of infinite size. Every context-free language is
dissected by carefully chosen regular languages (or it is REG-dissectible). In
a larger picture, we show that constantly-growing languages and semi-linear
languages are REG-dissectible. Under certain natural conditions, complements
and finite intersections of semi-linear languages also become REG-dissectible.
Restricted to bounded languages, the intersections of finitely many
context-free languages and, more surprisingly, the entire Boolean hierarchy
over bounded context-free languages are REG-dissectible. As an immediate
application of the REG-dissectibility, we show another structural property, in
which an appropriate bounded context-free language can ""separate with infinite
margins"" two given nested infinite bounded context-free languages.","Information Processing Letters, Vol.113, pp.116-122, 2013",cs.FL,"['cs.FL', 'cs.CC']",http://arxiv.org/abs/1202.4883v3
33,Cedille: A large autoregressive French language model,http://arxiv.org/pdf/2202.03371v1,"[arxiv.Result.Author('Martin Müller'), arxiv.Result.Author('Florian Laurent')]",,2022-02-07 17:40:43+00:00,"Scaling up the size and training of autoregressive language models has
enabled novel ways of solving Natural Language Processing tasks using zero-shot
and few-shot learning. While extreme-scale language models such as GPT-3 offer
multilingual capabilities, zero-shot learning for languages other than English
remain largely unexplored. Here, we introduce Cedille, a large open source
auto-regressive language model, specifically trained for the French language.
Our results show that Cedille outperforms existing French language models and
is competitive with GPT-3 on a range of French zero-shot benchmarks.
Furthermore, we provide an in-depth comparison of the toxicity exhibited by
these models, showing that Cedille marks an improvement in language model
safety thanks to dataset filtering.",,cs.CL,"['cs.CL', '68T50', 'I.2.7']",http://arxiv.org/abs/2202.03371v1
