,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
12,12,2,0.9927,"system, lithium, lm, usage, sentence, user, rich, free, learn, content","['candidate', 'sentence', 'selection', 'comprehensive', 'framework', 'empirical', 'evaluation', 'focus', 'fundamental', 'aspect', 'linguistic', 'complexity', 'original', 'context', 'important', 'role', 'development', 'learn', 'receptive', 'productive', 'skill', 'potential', 'practice', 'material', 'readily', 'available', 'large', 'quantity', 'teach', 'support', 'oppose']"
13,13,2,0.9937,"system, lithium, lm, usage, sentence, user, rich, free, learn, content","['lithium', 'extract', 'rich', 'set', 'develop', 'content', 'lithium', 'high', 'involve', 'heavy', 'usage', 'jargon', 'throughput', 'information', 'extraction', 'follow', 'formal', 'grammatical', 'rule', 'lithium', 'system', 'par', 'stateoftheart', 'system', 'apply', 'industrial', 'system', 'posrengle', 'practical', 'able', 'process', 'rich', 'user', 'run', 'commodity', 'machine']"
14,14,3,0.9934,"use, method, sentence, research, classification, task, present, application, learn, model","['building', 'sentiment', 'large', 'amount', 'datum', 'available', 'social', 'medium', 'forum', 'website', 'motivate', 'research', 'several', 'area', 'novel', 'method', 'approach', 'classification', 'high', 'demand', 'dataset', 'different', 'domain', 'sentenceson', 'tv', 'domain', 'sentence', 'label', 'class', 'positive', 'neutral', 'negative', 'annotator']"
15,15,2,0.9927,"system, lithium, lm, usage, sentence, user, rich, free, learn, content","['efficient', 'contextualize', 'representation', 'model', 'prune', 'sequence', 'labeling', 'aim', 'compress', 'lm', 'quality', 'sentence', 'application', 'lm', 'automatically', 'cap', 'end', 'task', 'pluginandplay', 'manner', 'introduce', 'layerwithout', 'affect', 'other', 'stretch', 'shallowand', 'wide', 'lm', 'deep', 'narrow', 'upto']"
16,16,1,0.9938,"model, task, use, propose, write, paper, system, neural, set, base","['majority', 'human', 'acquire', 'ability', 'communicate', 'directly', 'speak', 'even', 'learn', 'read', 'write', 'audiovisual', 'retrieval', 'perforforprofit', 'multilingual', 'model', 'exceed', 'crosslingual', 'believe', 'useful', 'future', 'work', 'explore', 'visually', 'ground', 'speech', 'toreceivespeech', 'translation', 'need', 'text', 'transcription', 'need', 'inductive', 'bias']"
17,17,4,0.9957,"model, task, text, work, base, project, key, paper, feature, method","['plan', 'base', 'framework', 'essay', 'generation', 'aim', 'understand', 'represent', 'mean', 'topic', 'argue', 'generating', 'organize', 'include', 'cle', 'challenge', 'task', 'requiresstheing', 'framework', 'consist', 'step', 'organize', 'select', 'topic', 'organize', 'sentence', 'organizing', 'form', 'organize', 'arrivective', 'article', 'lie', 'electronic', 'product', 'include', 'battery', 'use', 'chat', 'other', 'understand', 'topic', 'discuss', 'collect', 'topicspecific', 'fuel', 'phrase']"
18,18,1,0.9959,"model, task, use, propose, write, paper, system, neural, set, base","['automate', 'technique', 'model', 'check', 'violation', 'probability', 'reach', 'error', 'state', 'exceed', 'use', 'verify', 'humangenerate', 'robotic', 'mission', 'plan', 'propose', 'base', 'exceed', 'probability', 'threshold', 'propose', 'solution', 'base', 'programming', 'generating', 'explain', 'explain', 'counterexample', 'represent', 'set', 'explainable', 'counterexample', 'minimal', 'sound', 'complete', 'path', 'critical', 'subsystem', 'even', 'modest', 'number', 'path', 'paper', 'propose', 'medium', 'case', 'study', 'warehouse', 'robot', 'plan']"
19,19,3,0.9891,"use, method, sentence, research, classification, task, present, application, learn, model","['large', 'scale', 'word', 'forum', 'novel', 'annotate', 'subdialect', 'information', 'document', 'level', 'present', 'gulfarabic', 'building', 'morphologically', 'corlinguistic', 'first', 'step', 'develop', 'application', 'yadac']"
20,20,4,0.9956,"model, task, text, work, base, project, key, paper, feature, method","['paper', 'present', 'hmm', 'hide', 'model', 'base', 'system', 'pos', 'tagging', 'tag', 'codemixe', 'indian', 'social', 'mediatext', 'icon', 'tool', 'develop', 'task', 'base', 'mix', 'indian', 'social', 'medium', 'text', 'define', 'year', 'hide', 'model', 'utilize', 'information', 'dictionary', 'build', 'pos', 'system', 'mix', 'indian', 'social', 'medium', 'text', 'twitter', 'present', 'interest', 'apply', 'method', 'analyze']"
21,21,3,0.9949,"use, method, sentence, research, classification, task, present, application, learn, model","['sentence', 'simplification', 'aid', 'proteinprotein', 'interaction', 'extraction', 'ppis', 'study', 'interaction', 'othertence', 'biomedical', 'central', 'tenet', 'modern', 'transscientific', 'research', 'report', 'impact', 'automatic', 'lational', 'genomic', 'research', 'help', 'accelerate', 'biomedical', 'research', 'intertoken', 'dependency', 'evaluate', 'complexity', 'sentence', 'also', 'present', 'method', 'use', 'evaluate', 'efficacy', 'method', 'use', 'finally', 'exfully', 'explain', 'method']"
22,22,4,0.9936,"model, task, text, work, base, project, key, paper, feature, method","['paper', 'introduce', 'neural', 'model', 'generate', 'generation', 'model', 'condition', 'intence', 'fact', 'table', 'new', 'dataset', 'model', 'exploit', 'structure', 'datum', 'globally', 'globally', 'large', 'diverse', 'problem', 'generate', 'large', 'diverse', 'problem', 'contrast', 'previous', 'work', 'scaletoscale', 'model']"
23,23,0,0.9926,"use, model, semantic, task, framework, system, word, propose, lexical, work","['semantic', 'type', 'lexical', 'sort', 'classifier', 'need', 'lexical', 'consideration', 'semantical', 'analyser', 'grail', 'paper', 'concern', 'second', 'propose', 'cognitively', 'linguistically', 'motivated', 'set', 'set', 'linguistic', 'term', 'lexical', 'semantic', 'view', 'classicentric', 'language']"
24,24,4,0.9896,"model, task, text, work, base, project, key, paper, feature, method","['robustness', 'mention', 'detection', 'recurrent', 'neural', 'network', 'advantage', 'rnn', 'traditional', 'approach', 'mention', 'detection', 'challenge', 'come', 'model', 'dedescribe', 'denominal', 'president', 'pronominal']"
25,25,4,0.9957,"model, task, text, work, base, project, key, paper, feature, method","['grow', 'body', 'research', 'arabic', 'recent', 'year', 'example', 'orthography', 'dialect', 'make', 'sentiment', 'analysis', 'arabic', 'challenging', 'report', 'improve', 'accuracy', 'sentiment', 'different', 'text', 'feature', 'selection', 'way', 'feature', 'use', 'classify', 'publicly', 'available', 'arabic', 'machine', 'learning', 'classifier', 'paper', 'first', 'overview', 'relate', 'recent', 'work', 'powerful', 'tool', 'capture', 'together', 'close', 'word', 'sentiment', 'analysis']"
26,26,4,0.9804,"model, task, text, work, base, project, key, paper, feature, method","['regression', 'method', 'property', 'brazilian', 'use', 'various', 'processingtask', 'result', 'vixra', 'work']"
27,27,0,0.9959,"use, model, semantic, task, framework, system, word, propose, lexical, work","['novel', 'teaching', 'parallel', 'distribute', 'computing', 'concept', 'use', 'memebase', 'programming', 'lolcode', 'use', 'number', 'undergraduate', 'computer', 'science', 'course', 'computer', 'science', 'course', 'evolve', 'much', 'original', 'specification', 'develop', 'resemble', 'use', 'propose', 'use', 'include', 'photo', 'cat', 'parallel', 'distribute', 'lolcode', 'application', 'subject', 'matter', 'extension', 'enable', 'reductionist', 'use', 'humor', 'software', 'scale', 'inexpensive', 'lowpower', 'parallel', 'large', 'supercomputer']"
28,28,1,0.9927,"model, task, use, propose, write, paper, system, neural, set, base","['nujnetwork', 'community', 'train', 'propose', 'learn', 'embedding', 'use', 'feedcentric', 'large', 'unlabele', 'useful', 'many', 'task', 'paper', 'vector', 'achieve', 'make', 'difficult', 'learn', 'good', 'repressive', 'stateoftheart', 'method', 'fast', 'allow', 'structure', 'word', 'important', 'limitation']"
29,29,2,0.9925,"system, lithium, lm, usage, sentence, user, rich, free, learn, content","['work', 'focus', 'problem', 'ground', 'present', 'novel', 'introduce', 'new', 'multimodal', 'contain', 'ambiguous', 'sentence', 'demonstrate', 'visual', 'scene', 'fact', 'sufficient', 'legitimate', 'model', 'adjust', 'recognize', 'correct', 'understanding', 'relfledge', 'interpretation', 'underevant', 'visual', 'content', 'new', 'ambiguity']"
30,30,4,0.9931,"model, task, text, work, base, project, key, paper, feature, method","['new', 'analogy', 'corpus', 'explore', 'embedding', 'czech', 'word', 'embed', 'name', 'technique', 'embed', 'method', 'significantly', 'outperform', 'method', 'czech', 'case', 'gender', 'theselanguage', 'highlyinflecte', 'relatively', 'free', 'order', 'thecorpus', 'available', 'user', 'search', 'community', 'available']"
31,31,4,0.9954,"model, task, text, work, base, project, key, paper, feature, method","['problem', 'tag', 'find', 'way', 'tag', 'text', 'meticulous', 'part', 'speech', 'text', 'parse', 'information', 'extraction', 'text', 'review', 'text', 'review', 'basic', 'idea', 'apply', 'set', 'rule', 'clinical', 'sentence', 'machine', 'translation', 'pos', 'tag', 'difficult', 'task', 'word', 'ambiguous', 'consequently', 'important', 'preprocesse', 'task', 'paper', 'describe', 'rule', 'base', 'rulebase', 'tagger', 'clinical']"
32,32,3,0.9951,"use, method, sentence, research, classification, task, present, application, learn, model","['complex', 'network', 'stylometry', 'boost', 'performance', 'textual', 'classification', 'task', 'use', 'fuzzy', 'classification', 'strategy', 'topological', 'property', 'extract', 'complement', 'traditional', 'text', 'classification', 'strategy', 'several', 'case', 'result', 'obtain', 'traditional', 'networked', 'method', 'use', 'propose', 'model', 'generic', 'framework', 'devise', 'use', 'study', 'similar', 'textual', 'application', 'topology', 'play', 'pivotal', 'role', 'description', 'interact', 'agent']"
33,33,2,0.9933,"system, lithium, lm, usage, sentence, user, rich, free, learn, content","['generation', 'textual', 'entailment', 'nlml', 'system', 'learn', 'csiec', 'system', 'base', 'interactive', 'webbase', 'humancomputer', 'dialogue', 'system', 'lanentaile', 'hypothesis', 'put', 'free', 'usage', 'free', 'usage', 'internet', 'enrich', 'interaction', 'user', 'robot', 'generationtcid', 'true', 'entail', 'relationship', 'gte', 'critical', 'project', 'paper']"
34,34,1,0.9946,"model, task, use, propose, write, paper, system, neural, set, base","['enrich', 'conversation', 'context', 'retrievalbase', 'chatbot', 'improve', 'pretraine', 'transformer', 'pretraine', 'model', 'resound', 'impact', 'field', 'model', 'consist', 'model', 'usually', 'consist', 'stateoftheart', 'model', 'use', 'various', 'task', 'include', 'informacentric', 'retrieval', 'task', 'model', 'create', 'biencoder', 'perform', 'wordbyword', 'matching', 'word', 'input', 'pair', 'compare', 'result', 'vector']"
35,35,1,0.5533,"model, task, use, propose, write, paper, system, neural, set, base","['base', 'hindienglish', 'primary', 'target', 'machine', 'interpretation', 'decipher', 'conceal', 'source', 'give', 'framework', 'take', 'interpretation', 'interpretation', 'framework', 'analysis', 'human']"
36,36,0,0.9923,"use, model, semantic, task, framework, system, word, propose, lexical, work","['current', 'stateoftheart', 'neural', 'network', 'architecture', 'use', 'work', 'compare', 'result', 'traditional', 'method', 'bag', 'word', 'bow', 'long', 'short', 'term', 'ofbertandxlnet', 'also', 'consider', 'area', 'type', 'dynamic', 'network', 'ubiquitously', 'use']"
37,37,0,0.7343,"use, model, semantic, task, framework, system, word, propose, lexical, work","['topic', 'avoid', 'demote', 'latent', 'confound', 'text', 'classification', 'introduce', 'new', 'method', 'represent', 'latent', 'confound', 'text', 'classification', 'system', 'find', 'arectlabel', 'information', 'aim', 'task', 'discover', 'stylistic', 'feature', 'present', 'input', 'indicative', 'predict', 'label', 'input', 'text', 'i', 'test', 'set', 'end', 'learn', 'topical', 'feature', 'confound', 'prediction', 'task', 'ond']"
38,38,1,0.9877,"model, task, use, propose, write, paper, system, neural, set, base","['paper', 'take', 'still', 'lack', 'generalization', 'systematicity', 'require', 'naj', 'current', 'input', 'previous', 'output', 'themodelling', 'ofaricherspace', 'ofinteraction', 'input', 'context']"
39,39,4,0.9945,"model, task, text, work, base, project, key, paper, feature, method","['chinese', 'model', 'achieve', 'excellent', 'result', 'task', 'feature', 'extraction', 'ability', 'bidirectional', 'long', 'short', 'term', 'memory', 'network', 'achieve', 'good', 'effect', 'present', 'focus', 'attention', 'model', 'relation', 'extraction', 'task', 'model', 'integrate', 'wellknown', 'mechanism', 'thus', 'improve', 'feature', 'representa', 'compare', 'model', 'benefit']"
40,40,3,0.9919,"use, method, sentence, research, classification, task, present, application, learn, model","['uniblock', 'scoring', 'filter', 'information', 'train', 'good', 'property', 'block', 'unsupervise', 'supervised', 'manner', 'tackle', 'illegal', 'characbyorigin', 'problem', 'also', 'easily', 'apply', 'task', 'present', 'experimental', 'result', 'sentiment', 'analysis', 'model', 'removal', 'sentence']"
41,41,3,0.9886,"use, method, sentence, research, classification, task, present, application, learn, model","['troll', 'public', 'commurum', 'fix', 'offensive', 'adversarial', 'attack', 'lead', 'developer', 'shut', 'offensive', 'behavior', 'part', 'human', 'provide', 'robust', 'system', 'motivate', 'harm']"
42,42,4,0.9905,"model, task, text, work, base, project, key, paper, feature, method","['base', 'contextual', 'emotion', 'classifier', 'contextual', 'emotion', 'classifier', 'base', 'emotion', 'propose', 'model', 'leverage', 'base', 'transferable', 'model', 'discuss', 'propose', 'linestion', 'emotion', 'detail', 'detail']"
43,43,0,0.9889,"use, model, semantic, task, framework, system, word, propose, lexical, work","['program', 'synthesis', 'semantic', 'parsing', 'learn', 'code', 'idiom', 'author', 'require', 'highlevel', 'reasoning', 'lowlevel', 'implementation', 'detail', 'time', 'first', 'use', 'learn']"
44,44,1,0.9932,"model, task, use, propose, write, paper, system, neural, set, base","['unilateral', 'contract', 'term', 'service', 'play', 'substantial', 'role', 'modern', 'digital', 'life', 'propose', 'task', 'summarize', 'legal', 'document', 'plain', 'english', 'automatic', 'summarization', 'often', 'use', 'refactor', 'user', 'report', 'read', 'overload', 'hope', 'well', 'understanding', 'agreeing', 'say']"
45,45,4,0.9943,"model, task, text, work, base, project, key, paper, feature, method","['outofvocabulary', 'embed', 'imputation', 'ground', 'graph', 'convolutional', 'network', 'ground', 'information', 'extensively', 'use', 'construct', 'graph', 'ground', 'various', 'task', 'represent', 'realworldbase', 'knowledge', 'propose', 'novel', 'knowledgegraph', 'lcscscprove', 'imputation', 'use', 'ground', 'method', 'improve', 'pearson', 'spear', 'evaluate', 'range', 'rare', 'unseen', 'wordtask']"
46,46,0,0.9905,"use, model, semantic, task, framework, system, word, propose, lexical, work","['evaluation', 'basic', 'module', 'isolate', 'spelling', 'error', 'correction', 'polish', 'text', 'module', 'combine', 'edit', 'distance', 'cosine', 'distance', 'semantic', 'vector', 'suggest', 'interpretable', 'system', 'lstm']"
47,47,0,0.9913,"use, model, semantic, task, framework, system, word, propose, lexical, work","['pretraining', 'framework', 'understanding', 'framework', 'incrementally', 'build', 'pretraine', 'task', 'source', 'code', 'pretraine', 'model', 'inthisframework', 'work', 'thus', 'make', 'encode', 'lexical', 'syntactic', 'semantic', 'framework', 'basedon', 'task']"
48,48,0,0.99,"use, model, semantic, task, framework, system, word, propose, lexical, work","['new', 'model', 'achieve', 'considerable', 'deal', 'special', 'ever', 'application', 'gradually', 'introly', 'attention', 'introually', 'attention', 'attention', 'attentionbase', 'model', 'rie', 'tensor', 'utilize', 'special']"
49,49,1,0.993,"model, task, use, propose, write, paper, system, neural, set, base","['aim', 'build', 'neural', 'network', 'model', 'task', 'errorbase', 'errorcorrection', 'application', 'thesis', 'write', 'descarte', 'author', 'express', 'profound', 'gratitude', 'parent', 'family', 'unconditional', 'love', 'forbearance', 'provide', 'process', 'research', 'write', 'thesis', 'accomplishment', 'wouldnothave', 'possible', 'write']"
