,Title,PDF URL,Author,DOI,Published Date,Summary,Journal Ref,Primary Category,Category,Entry ID
10,Identifying Interpretable Visual Features in Artificial and Biological Neural Systems,http://arxiv.org/pdf/2310.11431v1,"[arxiv.Result.Author('David Klindt'), arxiv.Result.Author('Sophia Sanborn'), arxiv.Result.Author('Francisco Acosta'), arxiv.Result.Author('Frédéric Poitevin'), arxiv.Result.Author('Nina Miolane')]",,2023-10-17 17:41:28+00:00,"Single neurons in neural networks are often ``interpretable'' in that they
represent individual, intuitively meaningful features. However, many neurons
exhibit $\textit{mixed selectivity}$, i.e., they represent multiple unrelated
features. A recent hypothesis proposes that features in deep networks may be
represented in $\textit{superposition}$, i.e., on non-orthogonal axes by
multiple neurons, since the number of possible interpretable features in
natural data is generally larger than the number of neurons in a given network.
Accordingly, we should be able to find meaningful directions in activation
space that are not aligned with individual neurons. Here, we propose (1) an
automated method for quantifying visual interpretability that is validated
against a large database of human psychophysics judgments of neuron
interpretability, and (2) an approach for finding meaningful directions in
network activation space. We leverage these methods to discover directions in
convolutional neural networks that are more intuitively meaningful than
individual neurons, as we confirm and investigate in a series of analyses.
Moreover, we apply the same method to two recent datasets of visual neural
responses in the brain and find that our conclusions largely transfer to real
neural data, suggesting that superposition might be deployed by the brain. This
also provides a link with disentanglement and raises fundamental questions
about robust, efficient and factorized representations in both artificial and
biological neural systems.",,stat.ML,"['stat.ML', 'cs.LG']",http://arxiv.org/abs/2310.11431v1
11,An Empirical Study of Translation Hypothesis Ensembling with Large Language Models,http://arxiv.org/pdf/2310.11430v1,"[arxiv.Result.Author('António Farinhas'), arxiv.Result.Author('José G. C. de Souza'), arxiv.Result.Author('André F. T. Martins')]",,2023-10-17 17:40:21+00:00,"Large language models (LLMs) are becoming a one-fits-many solution, but they
sometimes hallucinate or produce unreliable output. In this paper, we
investigate how hypothesis ensembling can improve the quality of the generated
text for the specific problem of LLM-based machine translation. We experiment
with several techniques for ensembling hypotheses produced by LLMs such as
ChatGPT, LLaMA, and Alpaca. We provide a comprehensive study along multiple
dimensions, including the method to generate hypotheses (multiple prompts,
temperature-based sampling, and beam search) and the strategy to produce the
final translation (instruction-based, quality-based reranking, and minimum
Bayes risk (MBR) decoding). Our results show that MBR decoding is a very
effective method, that translation quality can be improved using a small number
of samples, and that instruction tuning has a strong impact on the relation
between the diversity of the hypotheses and the sampling temperature.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2310.11430v1
12,Butterfly Effects of SGD Noise: Error Amplification in Behavior Cloning and Autoregression,http://arxiv.org/pdf/2310.11428v1,"[arxiv.Result.Author('Adam Block'), arxiv.Result.Author('Dylan J. Foster'), arxiv.Result.Author('Akshay Krishnamurthy'), arxiv.Result.Author('Max Simchowitz'), arxiv.Result.Author('Cyril Zhang')]",,2023-10-17 17:39:40+00:00,"This work studies training instabilities of behavior cloning with deep neural
networks. We observe that minibatch SGD updates to the policy network during
training result in sharp oscillations in long-horizon rewards, despite
negligibly affecting the behavior cloning loss. We empirically disentangle the
statistical and computational causes of these oscillations, and find them to
stem from the chaotic propagation of minibatch SGD noise through unstable
closed-loop dynamics. While SGD noise is benign in the single-step action
prediction objective, it results in catastrophic error accumulation over long
horizons, an effect we term gradient variance amplification (GVA). We show that
many standard mitigation techniques do not alleviate GVA, but find an
exponential moving average (EMA) of iterates to be surprisingly effective at
doing so. We illustrate the generality of this phenomenon by showing the
existence of GVA and its amelioration by EMA in both continuous control and
autoregressive language generation. Finally, we provide theoretical vignettes
that highlight the benefits of EMA in alleviating GVA and shed light on the
extent to which classical convex models can help in understanding the benefits
of iterate averaging in deep learning.",,cs.LG,"['cs.LG', 'math.OC', 'stat.ML']",http://arxiv.org/abs/2310.11428v1
13,Predicting polymerization reactions via transfer learning using chemical language models,http://arxiv.org/pdf/2310.11423v1,"[arxiv.Result.Author('Brenda S. Ferrari'), arxiv.Result.Author('Matteo Manica'), arxiv.Result.Author('Ronaldo Giro'), arxiv.Result.Author('Teodoro Laino'), arxiv.Result.Author('Mathias B. Steiner')]",,2023-10-17 17:31:52+00:00,"Polymers are candidate materials for a wide range of sustainability
applications such as carbon capture and energy storage. However, computational
polymer discovery lacks automated analysis of reaction pathways and stability
assessment through retro-synthesis. Here, we report the first extension of
transformer-based language models to polymerization reactions for both forward
and retrosynthesis tasks. To that end, we have curated a polymerization dataset
for vinyl polymers covering reactions and retrosynthesis for representative
homo-polymers and co-polymers. Overall, we obtain a forward model Top-4
accuracy of 80% and a backward model Top-4 accuracy of 60%. We further analyze
the model performance with representative polymerization and retro-synthesis
examples and evaluate its prediction quality from a materials science
perspective.",,physics.chem-ph,"['physics.chem-ph', 'cond-mat.mtrl-sci']",http://arxiv.org/abs/2310.11423v1
14,Characters of the unitriangular group and the Mackey method,http://arxiv.org/pdf/2310.11421v1,"[arxiv.Result.Author('Mikhail Ignatev'), arxiv.Result.Author('Mikhail Venchakov')]",,2023-10-17 17:29:44+00:00,"Let $U$ be the unitriangular group over a finite field. We consider an
interesting class of irreducible complex characters of $U$, so-called
characters of depth 2. This is a next natural step after characters of maximal
and submaximal dimension, whose description is already known. We explicitly
describe the support of a character of depth 2 by a system of defining
algebraic equations. After that, we calculate the value of such a character on
an element from the support. The main technical tool used in the proofs is the
Mackey little group method for semidirect products.",,math.RT,"['math.RT', 'math.GR', '20C15, 17B08, 20D15']",http://arxiv.org/abs/2310.11421v1
15,Loss features in ultracold $^{162}$Dy gases: two- versus three-body processes,http://arxiv.org/pdf/2310.11418v1,"[arxiv.Result.Author('Maxime Lecomte'), arxiv.Result.Author('Alexandre Journeaux'), arxiv.Result.Author('Loan Renaud'), arxiv.Result.Author('Jean Dalibard'), arxiv.Result.Author('Raphael Lopes')]",,2023-10-17 17:26:49+00:00,"Dipolar gases like erbium and dysprosium have a dense spectrum of resonant
loss features associated with their strong anisotropic interaction potential.
These resonances display various behaviours with density and temperature,
implying diverse microscopic properties. Here, we quantitatively investigate
the low-field ($B < 6\,\text{G}$) loss features in ultracold thermal samples of
$^{162}$Dy, revealing two- and three-body dominated loss processes. We
investigate their temperature dependence and detect a feature compatible with a
$d$-wave Fano-Feshbach resonance, which has not been observed before. We also
analyse the expansion of the dipolar Bose-Einstein condensate as a function of
the magnetic field and interpret the changes in size close to the resonances
with a variation in the scattering length.",,cond-mat.quant-gas,['cond-mat.quant-gas'],http://arxiv.org/abs/2310.11418v1
16,Stellar mass-metallicity relation throughout the large-scale of the Universe: CAVITY mother sample,http://arxiv.org/pdf/2310.11412v1,"[arxiv.Result.Author('Jesús Domínguez-Gómez'), arxiv.Result.Author('Isabel Pérez'), arxiv.Result.Author('Tomás Ruiz-Lara'), arxiv.Result.Author('Reynier F. Peletier'), arxiv.Result.Author('Patricia Sánchez-Blázquez'), arxiv.Result.Author('Ute Lisenfeld'), arxiv.Result.Author('Bahar Bidaran'), arxiv.Result.Author('Jesús Falcón-Barroso'), arxiv.Result.Author('Manuel Alcázar-Laynez'), arxiv.Result.Author('María Argudo-Fernández'), arxiv.Result.Author('Guillermo Blázquez-Calero'), arxiv.Result.Author('Hélène Courtois'), arxiv.Result.Author('Salvador Duarte Puertas'), arxiv.Result.Author('Daniel Espada'), arxiv.Result.Author('Estrella Florido'), arxiv.Result.Author('Rubén García-Benito'), arxiv.Result.Author('Andoni Jiménez'), arxiv.Result.Author('Kathryn Kreckel'), arxiv.Result.Author('Mónica Relaño'), arxiv.Result.Author('Laura Sánchez-Menguiano'), arxiv.Result.Author('Thijs van der Hulst'), arxiv.Result.Author('Rien van de Weygaert'), arxiv.Result.Author('Simon Verley'), arxiv.Result.Author('Almudena Zurita')]",,2023-10-17 17:20:43+00:00,"Void galaxies are essential to understand the physical processes that drive
galaxy evolution as they are less affected by external factors than galaxies in
denser environments, i.e. filaments, walls, and clusters. The stellar
metallicity of a galaxy traces the accumulated fossil record of star formation
through its entire life. Comparing the stellar metallicity of galaxies in
various environments, including voids, filaments, walls, and clusters, can
provide valuable insights into how the large-scale environment impacts galaxy
chemical evolution. We present the first comparison of the total stellar mass
vs. central stellar metallicity relation between galaxies in voids, filaments,
walls, and clusters with different star formation history (SFH) types,
morphologies, and colours, for stellar masses between 10^8.0 to 10^11.5 solar
masses and redshift 0.01 < z < 0.05. We aim to better understand how the
large-scale structure affects galaxy evolution by studying the stellar
mass-metallicity relation of thousands of galaxies, which allows us to make a
statistically sound comparison between galaxies in voids, filaments, walls, and
clusters. We apply non-parametric full spectral fitting techniques (pPXF and
STECKMAP) to 10807 spectra from the SDSS-DR7 (987 in voids, 6463 in filaments
and walls, and 3357 in clusters) and derive their central mass-weighted average
stellar metallicity. We find that galaxies in voids have on average slightly
lower stellar metallicities than galaxies in filaments and walls (by 0.1 dex),
and much lower than galaxies in clusters (by 0.4 dex). These differences are
more significant for low-mass (10^9.25) than for high-mass galaxies, for
long-timescale SFH (LT-SFH, extended along time) galaxies than for
short-timescale SFHs (ST-SFH, concentrated at early times) galaxies, for spiral
than for elliptical galaxies, and for blue than for red galaxies.",,astro-ph.GA,"['astro-ph.GA', 'astro-ph.CO']",http://arxiv.org/abs/2310.11412v1
17,High kinetic inductance NbTiN films for quantum limited travelling wave parametric amplifiers,http://arxiv.org/pdf/2310.11410v1,"[arxiv.Result.Author('Felix Ahrens'), arxiv.Result.Author('Matteo Borghesi'), arxiv.Result.Author('Paolo Falferi'), arxiv.Result.Author('Luca Fasolo'), arxiv.Result.Author('Marco Faverzani'), arxiv.Result.Author('Elena Ferri'), arxiv.Result.Author('Andrea Giachero'), arxiv.Result.Author('Danilo Labranca'), arxiv.Result.Author('Federica Mantegazzini'), arxiv.Result.Author('Benno Margesin'), arxiv.Result.Author('Renato Mezzena'), arxiv.Result.Author('Roberto Moretti'), arxiv.Result.Author('Angelo Nucciotti'), arxiv.Result.Author('Luca Origo'), arxiv.Result.Author('Andrea Vinante'), arxiv.Result.Author('Mario Zannoni')]",,2023-10-17 17:18:05+00:00,"A wide-bandwidth and low-noise amplification chain in the microwave regime is
crucial for the efficient read-out of quantum systems based on superconducting
detectors, such as Microwave Kinetic Inductance Detectors (MKIDs), Transition
Edge Sensors (TESs), Magnetic Microcalorimeters (MMCs), and RF cavities, as
well as qubits. Kinetic Inductance Travelling Wave Parametric Amplifiers
(KI-TWPAs) operated in a three-wave mixing fashion have demonstrated
exceptional dynamic range and low-noise performance, approaching the quantum
limit. These amplifiers can be fabricated using a single layer of a high
kinetic inductance film as weakly dispersive artificial transmission lines,
with the ability to control the phase-matched bandwidth through dispersion
engineering. In this study, we present the optimisation of the rf
sputter-deposition process of NbTiN films using a Nb80%T20 target, with the
goal of achieving precise control over film characteristics, resulting in high
kinetic inductance while maintaining a high transition temperature. The
parameter landscape related to the different sputtering conditions, such as
pressure, power, and nitrogen flow, has been explored and the film thickness
has been used as a fine-tuning parameter to adjust the properties of the final
NbTiN films used for the fabrication of KI-TWPAs. As a final result, we have
obtained a NbTiN film with a kinetic inductance of 8.5 pH/sq which we have
exploited to fabricate KI-TWPA prototype devices, showing promising
amplification performance.",,physics.app-ph,"['physics.app-ph', 'quant-ph']",http://arxiv.org/abs/2310.11410v1
18,Evaluating LLMs for Privilege-Escalation Scenarios,http://arxiv.org/pdf/2310.11409v1,"[arxiv.Result.Author('Andreas Happe'), arxiv.Result.Author('Aaron Kaplan'), arxiv.Result.Author('Jürgen Cito')]",,2023-10-17 17:15:41+00:00,"Penetration testing, an essential component of cybersecurity, allows
organizations to proactively identify and remediate vulnerabilities in their
systems, thus bolstering their defense mechanisms against potential
cyberattacks. One recent advancement in the realm of penetration testing is the
utilization of Language Models (LLMs). We explore the intersection of LLMs and
penetration testing to gain insight into their capabilities and challenges in
the context of privilige escalation. We create an automated Linux
privilege-escalation benchmark utilizing local virtual machines. We introduce
an LLM-guided privilege-escalation tool designed for evaluating different LLMs
and prompt strategies against our benchmark. We analyze the impact of different
prompt designs, the benefits of in-context learning, and the advantages of
offering high-level guidance to LLMs. We discuss challenging areas for LLMs,
including maintaining focus during testing, coping with errors, and finally
comparing them with both stochastic parrots as well as with human hackers.",,cs.CR,"['cs.CR', 'cs.AI']",http://arxiv.org/abs/2310.11409v1
19,Group-blind optimal transport to group parity and its constrained variants,http://arxiv.org/pdf/2310.11407v1,"[arxiv.Result.Author('Quan Zhou'), arxiv.Result.Author('Jakub Marecek')]",,2023-10-17 17:14:07+00:00,"Fairness holds a pivotal role in the realm of machine learning, particularly
when it comes to addressing groups categorised by sensitive attributes, e.g.,
gender, race. Prevailing algorithms in fair learning predominantly hinge on
accessibility or estimations of these sensitive attributes, at least in the
training process. We design a single group-blind projection map that aligns the
feature distributions of both groups in the source data, achieving
(demographic) group parity, without requiring values of the protected attribute
for individual samples in the computation of the map, as well as its use.
Instead, our approach utilises the feature distributions of the privileged and
unprivileged groups in a boarder population and the essential assumption that
the source data are unbiased representation of the population. We present
numerical results on synthetic data and real data.",,cs.LG,"['cs.LG', 'math.OC']",http://arxiv.org/abs/2310.11407v1
20,Enhancing Group Fairness in Online Settings Using Oblique Decision Forests,http://arxiv.org/pdf/2310.11401v1,"[arxiv.Result.Author('Somnath Basu Roy Chowdhury'), arxiv.Result.Author('Nicholas Monath'), arxiv.Result.Author('Ahmad Beirami'), arxiv.Result.Author('Rahul Kidambi'), arxiv.Result.Author('Avinava Dubey'), arxiv.Result.Author('Amr Ahmed'), arxiv.Result.Author('Snigdha Chaturvedi')]",,2023-10-17 17:10:56+00:00,"Fairness, especially group fairness, is an important consideration in the
context of machine learning systems. The most commonly adopted group
fairness-enhancing techniques are in-processing methods that rely on a mixture
of a fairness objective (e.g., demographic parity) and a task-specific
objective (e.g., cross-entropy) during the training process. However, when data
arrives in an online fashion -- one instance at a time -- optimizing such
fairness objectives poses several challenges. In particular, group fairness
objectives are defined using expectations of predictions across different
demographic groups. In the online setting, where the algorithm has access to a
single instance at a time, estimating the group fairness objective requires
additional storage and significantly more computation (e.g., forward/backward
passes) than the task-specific objective at every time step. In this paper, we
propose Aranyani, an ensemble of oblique decision trees, to make fair decisions
in online settings. The hierarchical tree structure of Aranyani enables
parameter isolation and allows us to efficiently compute the fairness gradients
using aggregate statistics of previous decisions, eliminating the need for
additional storage and forward/backward passes. We also present an efficient
framework to train Aranyani and theoretically analyze several of its
properties. We conduct empirical evaluations on 5 publicly available benchmarks
(including vision and language datasets) to show that Aranyani achieves a
better accuracy-fairness trade-off compared to baseline approaches.",,cs.LG,['cs.LG'],http://arxiv.org/abs/2310.11401v1
21,Neural Attention: Enhancing QKV Calculation in Self-Attention Mechanism with Neural Networks,http://arxiv.org/pdf/2310.11398v1,[arxiv.Result.Author('Muhan Zhang')],,2023-10-17 17:06:26+00:00,"In the realm of deep learning, the self-attention mechanism has substantiated
its pivotal role across a myriad of tasks, encompassing natural language
processing and computer vision. Despite achieving success across diverse
applications, the traditional self-attention mechanism primarily leverages
linear transformations for the computation of query, key, and value (QKV),
which may not invariably be the optimal choice under specific circumstances.
This paper probes into a novel methodology for QKV computation-implementing a
specially-designed neural network structure for the calculation. Utilizing a
modified Marian model, we conducted experiments on the IWSLT 2017
German-English translation task dataset and juxtaposed our method with the
conventional approach. The experimental results unveil a significant
enhancement in BLEU scores with our method. Furthermore, our approach also
manifested superiority when training the Roberta model with the Wikitext-103
dataset, reflecting a notable reduction in model perplexity compared to its
original counterpart. These experimental outcomes not only validate the
efficacy of our method but also reveal the immense potential in optimizing the
self-attention mechanism through neural network-based QKV computation, paving
the way for future research and practical applications. The source code and
implementation details for our proposed method can be accessed at
https://github.com/ocislyjrti/NeuralAttention.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/2310.11398v1
